school_id,ai_innovation
251,
890,
778,
52,"Teachers know it is here to stay, so they intentionally leverage AI to maximize learning."
540,Rapid iterating of ideas for younger learners. The AI tools assist in bringing their ideas to life more efficiently and help convey the ideas in their minds by putting them on paper - physical/technicial drawing or design skill set does not limit the creative power of the learner.   Our faculty are using AI tools to design more authentic assessments related to our Design Thinking pedagogy. Our faculty are also using AI to brainstorm and workshop project designs more rapidly by using AI as a conversational tool.
237,
499,We have honest conversations with our students about the benefits and challenges of these emerging technologies. 
388,
816,
455,I have a number of methods by which AI has been integrated into my professional practice.
694,We would love to demonstrate our use of AI to create individualized pathways for every individual. 
26,Teaching students how to use it in writing and presentations.
266,Our learners are leading the development of this
512,
246,We have started exploring with teachers and how AI can do some of the heavy lifting so teachers and tasks at hand
302,
212,
810,Incorporating current trends in future-proofing educational experiences that are grounded in human-centered thinking and design and how to facilitate co-existing responsibly in what is being referred to as the Fourth Industrial Revolution.
8,"Yes! We have trained a GPT on our model, our writings, and our curriculum to help personalize learning."
640,
323,
757,RIght now we are training our staff on how to use AI to give feedback to student work. We have a EdTech coach providing support and guidance on the newest apps and programs that can be beneficial to our staff and students. 
654,
303,We are just starting to explore this
495,
818,
815,"Staff has used AI for creating educational resources, varies from public speaking to simulated student artifacts to guide students in developing success criteria for writing projects."
139,
439,
318,
483,MagicSchool to create more texts for student research
666,
410,
729,No.
811,
15,
256,"Yes, Da Vinci Schools has developed a program that uses AI to fuel project based learning. Designed with the teachers and students at Da Vinci Schools, Project Leo provides the tools necessary to bring personalized Project Based Learning into every classroom. Our AI-enhanced learning platform gives students the freedom to build projects that truly inspire them while getting feedback from teachers, professionals, and peers throughout the process. Leverage the latest AI tools in a safe way to give your students a more purposeful and engaging learning experience. (https://institute.davincischools.org/project-leo.html) "
353,"It is being incorporated into student learning opportunities. In addition, we are exploring the use of Brisk to create faster feedback cycles on performance based assessments and to create efficiencies in teacher workload related to curriculum planning and grading."
369,
686,
458,
502,Possibly.
937,
571,We are using School AI.  It is an amazing tool!
360,We teach students how to cite properly within both APA and MLA including AI genertaed content.  We also keep up on the latest reseach on innovative uses of AI and how students can uitlize it in this way.
98,We use AI consistently in our classrooms. Our teachers are designing lessons in using AI where AI provides feedback to students responses. We use AI in our mathematics classrooms where students are using machine learning and develop algorithms to answer questions about the concepts that they are learning. 
802,
814,"Yes, we have been learning about prompting for images. They have to get very specific  in their language to prompt AI tools to receive the image they had pictured. "
703,
478,
41,
807,I've taught several of my students to use ChatGPT to help them generate questions about specific topics of interest to help guide their independent research. Another student uses an AI lyric generator to brainstorm lyrics for songs and provide a starting point for his writing.
47,
208,We are starting to investigate this option 
541,We are approaching AI as a tool which students should learn how to use.  We are also continuing to help students develop their skills to assess the credibility of the information they get from multiple sources.  
756,"Our students and staff understand the necessity of being technologically literate in a global 21st century society. Rather than shy away from AI, we have had our students and staff embrace it to enrich the learning environment - allowing students and staff to dive deeper into their learning."
800,
566,
