Variable Name,Variable Description,Corresponding Survey Question,Response Types,Source,Data Subset,Clean Labels,Confidential
nominator,The organization(s) which nominated the school or learning environment,What organization do you work for or represent?,Open response,Nomination survey,Variables,,Public-facing
school_id,Canopy school ID number assigned by the Canopy project (metadata),Canopy ID,Internally generated unique identifier,Canopy created variable,Variables,,Public-facing
nces_id,"Corresponding NCES ID, if applicable, used to collect extant data.",,,NCES,Variables,,Public-facing
school_name,Name of the school,School name:,Open response,Externally generated unique identifier,Variables,,Public-facing
school_address,Street address where the school is located,School address:,Open response,School survey,Variables,,Public-facing
school_city,City where the school is located,School city:,Open response,School survey,Variables,,Public-facing
school_state,State where the school is located,School state:,Open response,School survey,Variables,,Public-facing
school_district,School district,School district:,Open response,School survey,Variables,,Public-facing
website,School website,School website:,Open response,School survey,Variables,,Public-facing
school_type,Describes the school type,Which option best describes your school or learning environment?,"Public district school
Public charter school
Independent (private) school",School survey,Variables,,Public-facing
school_desc_homeschool,Indicates whether the school identifies as a home school,Do any of the following descriptors apply to your school or learning environment?,1 if Homeschooling cooperative selected; else 0,School survey,Variables,homeschool,Public-facing
school_desc_hybrid,Indicates whether the school identifies as a hybrid school,Do any of the following descriptors apply to your school or learning environment?,1 if Hybrid school selected; else 0,School survey,Variables,hybrid,Public-facing
school_desc_micro,Indicates whether the school identifies as a microschool,Do any of the following descriptors apply to your school or learning environment?,1 if Microschool selected; else 0,School survey,Variables,microschool,Public-facing
school_desc_part_time,Indicates whether the school identifies as a part time school,Do any of the following descriptors apply to your school or learning environment?,1 if Part time school selected; else 0,School survey,Variables,part time school,Public-facing
school_desc_sws,Indicates whether the school identifies as a school within a school,Do any of the following descriptors apply to your school or learning environment?,1 if School-within-school selected; else 0,School survey,Variables,school-within-school,Public-facing
school_desc_virtual,Indicates whether the school identifies as a virtual school,Do any of the following descriptors apply to your school or learning environment?,1 if Virtual school selected; else 0,School survey,Variables,virtual,Public-facing
school_desc_other,Indicates whether the school chose to self-identify an additional school descriptor,Do any of the following descriptors apply to your school or learning environment?,1 if Other selected; else 0,School survey,Variables,other,Public-facing
school_desc_other_text,Self-identified school descriptor,Do any of the following descriptors apply to your school or learning environment?,Text provided to specify Other,School survey,Variables,,Public-facing
school_locale,A combined variable with an exclusive designation for the geographic area the learning environment serves.,,"Urban
Suburban
Rural
Multiple",Canopy created variable,Variables,,Public-facing
locale_urban,Indicates if the learning environment serves students from urban geographic areas.,Which geography describes the student population your school serves?,1 if Urban selected; else 0,School survey,Variables,urban,Public-facing
locale_suburban,Indicates if the learning environment serves students from suburban geographic areas.,Which geography describes the student population your school serves?,1 if Suburban selected; else 0,School survey,Variables,suburban,Public-facing
locale_rural,Indicates if the learning environment serves students from rural geographic areas.,Which geography describes the student population your school serves?,1 if Rural selected; else 0,School survey,Variables,rural,Public-facing
