Nomination ID,Nominator Org,Publicly disclosable nominator org,Canopy School ID,Official School Name,School Name,School City,School State,District or CMO,Reason for nominating
Nominator_2023-11_Mastery Transcript Consortium_American Academy of Innovation,Mastery Transcript Consortium,Mastery Transcript Consortium,7,American Academy of Innovation,American Academy of Innovation,South Jordan,UT,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_A Revolution in Education_Charlotte Lab School,A Revolution in Education,A Revolution in Education,32,Charlotte Lab School,Charlotte Lab School,Charlotte,NC,N/A,"The school is committed to adopting and modeling a habit of innovation, keeping the changing needs of students at the forefront of all decisions related to curriculum, programs, and policies. It has a student-centered focus on the whole child, with learning personalized to each student's needs and opportunities for real-world experiences.  One of their signature practices are Quests, which challenge-based courses and projects, which are interdisciplinary and enable students to discuss and collaboratively develop solutions for real-world challenges. These Quests provide students with exposure to current events, history, science content, math, literacy skills, and valuable life skills. Their high school is also creating professional learning opportunities through internships and client projects.  The school's program is highly individualized, allowing students to pursue their interests."
Nominator_2023-11_Transcend_Compass Academy,Transcend,Anonymous,46,Compass Academy,Compass Academy,Denver,CO,-,Compass Academy supports students in developing academic and social-emotional competencies that provide postsecondary pathway success. 
Nominator_2023-11_Transcend_Design Tech High School,Transcend,Anonymous,56,Design Tech High School,d.tech,Redwood City,CA,-,"d.tech leverages a strong design thinking approach, lots of cllege and career prep, extracurriculars"
Nominator_2023-11_Aurora Institute_Francis W. Parker Charter Essential School,Aurora Institute,Aurora Institute,78,Francis W. Parker Charter Essential School,Francis W. Parker Charter Essential School,Devens,MA,N/A,"The Parker School is designed from the Coalition of Essential Schools 10 Principles. Learning is designed around Parker’s Criteria for Excellence, which is categorized into the domains of Arts and Humanities (AH), Math, Science, and Technology (MST), Language (Spanish), and Wellness. Students fulfill the Criteria for Excellence within their coursework and subsequently progress through designated ""gateway"" portfolios and presentations. The autonomy given to students in choosing their topics, designing essential questions, pursuing their interests, and creating high-level demonstrations of learning reflects a student-centered approach."
Nominator_2023-11_Mastery Transcript Consortium_Gibson Ek High School,Mastery Transcript Consortium,Mastery Transcript Consortium,84,Gibson Ek High School,Gibson Ek High School,Issaquah,WA,Issaquah School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Transcend_High Tech High,Transcend,Anonymous,92,High Tech High,High Tech High (flagship),San DIego,CA,High Tech High Schools ,"HTH prepares a diverse range of students for postsecondary education, citizenship, and leadership in the high technology industry. It boasts state-of-the-art technical facilities for project-based learning, internships for all students, and close links to the high-tech workplace."
Nominator_2023-11_Clayton Christensen Institute_Map Academy Charter School,Clayton Christensen Institute,Clayton Christensen Institute,122,Map Academy Charter School,Map Academy,Plymouth,MA,n/a,Map Academy uses online learning to make their program flexible to the needs of at-promise youth. They have an innovative approach to tracking student progress and targeting supports for students.
Nominator_2023-11_Transcend_Map Academy Charter School,Transcend,Anonymous,122,Map Academy Charter School,MAP Academy,Plymouth ,MA,,Map Academy is an alternative charter high school founded on the belief that every student – no matter what their life circumstances – has unique strengths and the ability to succeed.
Nominator_2023-11_Getting Smart_Purdue Polytechnic High School - Englewood,Getting Smart,Getting Smart,165,Purdue Polytechnic High School - Englewood,Purdue Polytechnic High School,Indianapolis and South Bend,IN,Indiana Department of Education. ,"The PPHS Lab high school uses state funding and operates in partnership with industry and community members. Their growth plans include scaling to serve 40 students in 2024-2025, with the intention of replicating upon demonstrating model efficacy and viability. "
