"Value","Frequency","Variable"
"228 Accelerator",1,"nominator"
"A Revolution in Education",2,"nominator"
"Achievement Network",1,"nominator"
"Alliance for Catholic Education",2,"nominator"
"an anonymous organization",1,"nominator"
"Anonymous",43,"nominator"
"Anonymous, Anonymous, Anonymous, Clayton Christensen Institute",1,"nominator"
"Anonymous, Christensen Institute",1,"nominator"
"Anonymous, Clayton Christensen Institute",1,"nominator"
"Anonymous, Education Evolving, Christensen Institute",1,"nominator"
"Anonymous, Next Generation Learning Challenges",1,"nominator"
"Anonymous, Rural Schools Collaborative",1,"nominator"
"Anonymous, TNTP, The Learning Accelerator",1,"nominator"
"Arkansas Office of Innovation",1,"nominator"
"Arkansas Team Digital",1,"nominator"
"Aurora Institute",2,"nominator"
"Barr Foundation",1,"nominator"
"Big Picture Learning",5,"nominator"
"Bluum",1,"nominator"
"Center for Artistry and Scholarship",1,"nominator"
"Center for the Future of Arizona",1,"nominator"
"Center on Reinventing Public Education",4,"nominator"
"Center on Reinventing Public Education, Barr Foundation",1,"nominator"
"Chan Zuckerberg Initiative",1,"nominator"
"Christensen Institute",1,"nominator"
"Clayton Christensen Institute",2,"nominator"
"Colorado Education Initiative",2,"nominator"
"Diverse Charter Schools Coalition",1,"nominator"
"EdSurge and an anonymous organization",1,"nominator"
"Education Evolving",2,"nominator"
"Education Evolving, EdVisions, Center for Teaching Quality, Education Reimagined",1,"nominator"
"Education Reimagined",2,"nominator"
"Education Reimagined, Institute for Personalized Learning",1,"nominator"
"Empower Schools",1,"nominator"
"EmpowerK12",1,"nominator"
"Evergreen Education Group, TRIO Wolf Creek Distance Learning Charter School",1,"nominator"
"Getting Smart",3,"nominator"
"Great Schools Partnership",1,"nominator"
"Great Schools Partnership, Next Generation Learning Challenges, EL Education",1,"nominator"
"Highlander Institute",1,"nominator"
"KnowledgeWorks",6,"nominator"
"Mastery Collaborative",1,"nominator"
"Mastery Transcript Consortium",18,"nominator"
"Mastery Transcript Consortium, Clayton Christensen Institute",2,"nominator"
"MiCoOp",3,"nominator"
"MiCoOp, EdTech Specialists",1,"nominator"
"Minnesota Learner-Centered Network",1,"nominator"
"Moonshot EdVentures, Education Reimagined",1,"nominator"
"National Center for Special Education in Charter Schools",1,"nominator"
"New Tech Network",1,"nominator"
"NewSchools Venture Fund",11,"nominator"
"NewSchools Venture Fund, Transcend",1,"nominator"
"Next Gen Learning Challenges",1,"nominator"
"Next Generation Learning Challenges",2,"nominator"
"Next Generation Learning Challenges, Center on Reinventing Public Education",1,"nominator"
"Next Generation Learning Challenges, Center on Reinventing Public Education, Aurora Institute, Getting Smart, Anonymous",1,"nominator"
"Ohio Department of Education: The Innovation Lab Network",1,"nominator"
"Open Way Learning",3,"nominator"
"ReSchool Colorado",1,"nominator"
"Rogers Family Foundation",1,"nominator"
"Springpoint Schools",1,"nominator"
"The Center for Learner Equity",2,"nominator"
"The Learning Accelerator",1,"nominator"
"The Mind Trust",1,"nominator"
"TNTP",1,"nominator"
"Transcend",10,"nominator"
"Transcend, Center on Reinventing Public Education",1,"nominator"
"Utah State Board of Education",2,"nominator"
"Vermont Agency of Education",3,"nominator"
"Vermont Learning for the Future",1,"nominator"
"Virginia Department of Education",1,"nominator"
