variable_name,y_2023,y_2022,y_2021,y_2019,Equivalent Variable Name - 2023,Equivalent Variable Name - 2022,Equivalent Variable Name - 2021,Equivalent Variable Name - 2019,In use,Year removed,Only one year used,Full Tag Name
practices_a_la_carte,2023,2022,2021,2019,practices_a_la_carte,practices_a_la_carte,a_la_carte,a_la_carte,y,,n,à la carte model
practices_accommodations,2023,2022,2021,2019,practices_accommodations,practices_accommodations,accommodations,accommodations,y,,n,accomodations provided to all students
practices_adult_wellness,2023,,,,practices_adult_wellness,NA,NA,NA,y,,y,adult wellness/SEL
practices_advancement_mastery,2023,2022,2021,2019,practices_advancement_mastery,practices_advancement_mastery,advancement_mastery,advancement_mastery,y,,n,advancement on mastery
practices_advisories,2023,2022,2021,2019,practices_advisories,practices_advisories,advisories,advisories,y,,n,student advisories
practices_all_courses_designed_for_inclusion,2023,,,,practices_all_courses_designed_for_inclusion,NA,,,y,,y,all courses designed for inclusion
practices_anti_racist,2023,2022,2021,,practices_anti_racist,practices_anti_racist,anti_racist_action,NA,y,,n,anti-racist practices
practices_assessments_agency,2023,,,,practices_assessments_agency,NA,NA,NA,y,,y,assessments for agency & self-directed learning
practices_assessments_bilingual,2023,,,,practices_assessments_bilingual,NA,NA,NA,y,,y,bilingual assessments
practices_assessments_career,2023,2022,2021,,practices_assessments_career,practices_assessments_career,assessments_career,NA,y,,n,assessments for career readiness
practices_assessments_deeper,2023,2022,2021,,practices_assessments_deeper,practices_assessments_deeper,assessments_deeper,NA,y,,n,assessments for deeper learning
practices_assessments_sel,2023,2022,2021,,practices_assessments_sel,practices_assessments_sel,assessments_sel,NA,y,,n,assessments for social-emotional skills
practices_blended_learning,2023,2022,2021,2019,practices_blended_learning,practices_blended_learning,blended_learning,blended_learning,y,,n,blended learning
practices_career_prep,2023,2022,2021,2019,practices_career_prep,practices_career_prep,career_prep,career_prep,y,,n,career prep & work-basedlearning
practices_co_leaders,2023,,,,practices_co_leaders,NA,NA,NA,y,,y,co-leadership
practices_community_leaders,2023,,,,practices_community_leaders,NA,NA,NA,y,,y,CBOs as co-leaders
practices_community_partnerships,2023,2022,2021,2019,practices_community_partnerships,practices_community_partnerships,community_partnerships,community_partnerships,y,,n,community & business partnerships
practices_community_supports,2023,2022,2021,2019,practices_community_supports,practices_community_supports,community_supports,community_support,y,,n,family & community support services
practices_competency_education,2023,2022,2021,2019,practices_competency_education,practices_competency_education,competency_education,competency_education,y,,n,competency/mastery-based education
practices_competency_framework,2023,2022,2021,2019,practices_competency_framework,practices_competency_framework,competency_framework,competency_framework,y,,n,competency framework
practices_culturally_responsive,2023,2022,2021,2019,practices_culturally_responsive,practices_culturally_responsive,culturally_relevant,culturally_relevant,y,,n,culturally responsive practices
practices_design_marginalized,2023,2022,2021,2019,practices_design_marginalized,practices_design_marginalized,design_equity,design_margins,y,,n,design for marginalized students
practices_design_thinking,2023,2022,2021,2019,practices_design_thinking,practices_design_thinking,design_thinking,design_margins,y,,n,design thinking process
practices_disaggregated_participation_data,2023,2022,,,practices_disaggregated_participation_data,practices_disaggregated_participation_data,NA,NA,y,,n,disaggregated student participation data
practices_dual_language,2023,2022,2021,,practices_dual_language,practices_dual_language,dual_language,NA,y,,n,dual language programming
practices_early_college,2023,2022,2021,,practices_early_college,practices_early_college,early_college,NA,y,,n,early college high school
practices_elimination_tracking,2023,2022,2021,2019,practices_elimination_tracking,practices_elimination_tracking,elimination_tracking,elimination_tracking,y,,n,no tracked classes
practices_enriched_virtual,2023,2022,2021,2019,practices_enriched_virtual,practices_enriched_virtual,enriched_virtual,enriched_virtual,y,,n,enriched virtual model
practices_expanded_open_hours,2023,2022,,,practices_expanded_open_hours,practices_expanded_open_hours,NA,NA,y,,n,expanded open hours
practices_extended_learning,2023,2022,2021,,practices_extended_learning,practices_extended_learning,extended_learning,NA,y,,n,extended learning opportunities
practices_families_leaders,2023,2022,2021,,practices_families_leaders,practices_families_leaders,families_leaders,NA,y,,n,families as co-leaders
practices_flex,2023,2022,2021,2019,practices_flex,practices_flex,flex,flex,y,,n,flex model
practices_flexible_facilities,2023,2022,2021,2019,practices_flexible_facilities,practices_flexible_facilities,flexible_facilities,flexible_facilities,y,,n,flexible facilities & classrooms
practices_flexible_staffing,2023,2022,2021,2019,practices_flexible_staffing,practices_flexible_staffing,flexible_staffing,flexible_staffing,y,,n,flexible staffing & alternative teaching roles
practices_flipped_classroom,2023,2022,2021,2019,practices_flipped_classroom,practices_flipped_classroom,flipped_classroom,flexible_staffing,y,,n,flipped classroom
practices_grading_mastery,2023,2022,2021,2019,practices_grading_mastery,practices_grading_mastery,grading_mastery,flexible_staffing,y,,n,grading policies focus on mastery
practices_heritage_language,2023,,,,practices_heritage_language,NA,NA,NA,y,,y,heritage language courses
practices_hiring_equity,2023,2022,2021,,practices_hiring_equity,practices_hiring_equity,hiring_equity,NA,y,,n,hiring for equity & inclusion values
practices_industry_credentials,2023,2022,2021,,practices_industry_credentials,practices_industry_credentials,industry_credentials,NA,y,,n,students earn industry credentials
practices_industry_leaders,2023,,,,practices_industry_leaders,NA,NA,NA,y,,y,industry-based partners as co-leaders
practices_interdisciplinary,2023,2022,2021,2019,practices_interdisciplinary,practices_interdisciplinary,interdisciplinary,interdisciplinary,y,,n,interdisciplinary
practices_interoperability,2023,2022,2021,,practices_interoperability,practices_interoperability,interoperability,NA,y,,n,interoperable data from multiple technologies
practices_learning_paths,2023,2022,2021,2019,practices_learning_paths,practices_learning_paths,learning_paths,learning_paths,y,,n,individual learning paths
practices_makerspace,2023,2022,2021,2019,practices_makerspace,practices_makerspace,makerspace,makerspace,y,,n,makerspace
practices_mental_health,2023,2022,2021,2019,practices_mental_health,practices_mental_health,mental_health,mental_health,y,,n,mental health services
practices_mentoring,2023,2022,2021,2019,practices_mentoring,practices_mentoring,mentoring,mentoring,y,,n,1:1 mentoring
practices_mtss_academics,2023,2022,,,practices_mtss_academics,practices_mtss_academics,NA,NA,y,,n,multi-tiered system of support (MTSS) in academics
practices_multi_age,2023,2022,2021,2019,practices_multi_age,practices_multi_age,multi_age,multi_age,y,,n,multi-age classrooms
practices_opportunities_mastery,2023,2022,2021,2019,practices_opportunities_mastery,practices_opportunities_mastery,opportunities_mastery,opportunities_mastery,y,,n,multiple opportunities to demonstrate mastery
practices_other_leaders,2023,,,,practices_other_leaders,NA,NA,NA,y,,y,other co-leaders
practices_pbl,2023,2022,2021,2019,practices_pbl,practices_pbl,pbl,pbl,y,,n,project-based learning
practices_peer_to_peer,2023,2022,2021,,practices_peer_to_peer,practices_peer_to_peer,peer_to_peer,NA,y,,n,peer to peer support
practices_performance_assessment,2023,2022,2021,2019,practices_performance_assessment,practices_performance_assessment,performance_assessment,performance_assessment,y,,n,performance based assessments
practices_physical_well_being,2023,2022,2021,2019,practices_physical_well_being,practices_physical_well_being,physical_well_being,physical_health,y,,n,physical well being services
practices_place_based,2023,2022,2021,,practices_place_based,practices_place_based,place_based,NA,y,,n,place-based learning
practices_reallocation_resources,2023,2022,2021,2019,practices_reallocation_resources,practices_reallocation_resources,reallocation_resources,reallocation_resources,y,,n,reallocation of resources for those most in need
practices_restorative,2023,2022,2021,2019,practices_restorative,practices_restorative,restorative_practice,restorative_practice,y,,n,restorative practices
