School Name,CanopyID,Nominator Org (from Nominations)
A2 Virtual+ Academy,1,Michigan Virtual
Academies of Hampton,2,Virginia Department of Education
The Academy of Advanced Learning,3,"NewSchools Venture Fund,NewSchools Venture Fund"
Albemarle Road Elementary School,4,Public Impact
Alpena Career Tech Education Center,5,EdTech Specialists
Amana Academy,6,EL Education
American Academy of Innovation,7,"Utah State Board of Education,Mastery Transcript Consortium"
Anastasis Academy,8,ReSchool Colorado
Armada High School,9,Michigan Department of Education
Asa Messer Elementary School,10,Highlander Institute
Aspen Academy,11,"Moonshot EdVentures,Moonshot EdVentures"
Aspire Richmond Tech,12,Bellwether Education Partners
Atlanta Speech School,13,Bellwether Education Partners
Austin Road Elementary School,14,Building Blocks Education
Avalon School,15,"Education Evolving,EdVisions,Center for Teaching Quality,Education Reimagined"
Avanti High School,16,Populace
Aveson Global Leadership Academy,17,"PBLWorks,Springpoint Schools"
Barbara Morgan STEM Academy,18,Educurious
Barrington Middle School,19,Highlander Institute
Bedford Homeschool Partnership,20,EdTech Specialists
Berrien Springs Virtual School,21,EdTech Specialists
Blackstone Academy Charter School,22,"Great Schools Partnership,Center for Artistry and Scholarship,Great Schools Partnership,Barr Foundation"
Booneville High School,23,Global Teaching Project
Boston Day and Evening Academy,24,"Education Evolving,Jobs for the Future,Education First,Clayton Christensen Institute"
Bronx Arena High School,25,"reDesign,Springpoint Schools,Overdeck Family Foundation"
Canon City High School,26,"iLearn Collaborative,Colorado Education Initiative,Colorado Education Initiative,Colorado Education Initiative"
Casco Bay High School,27,"EL Education,Great Schools Partnership,Great Schools Partnership,Next Generation Learning Challenges"
Center Line High School - Wall to Wall Academies,28,"EdTech Specialists,Michigan Department of Education"
Central Elementary School,29,Highlander Institute
Charles W. Eliot PreK-8th Grade School,30,Building Blocks Education
Charles R. Drew Charter School,31,Georgia Governor's Office of Student Achievement
Charlotte Lab School,32,"Digital Learning Institute,NewSchools Venture Fund"
Chastain Road Elementary,33,South Carolina Department of Education Office of Personalized Learning
Childersburg Middle School,34,Center for Teaching Quality
CICS West Belden,35,Next Generation Learning Challenges
Cisco Elementary,36,CA Group Consulting
Citizens of the World Hollywood,37,Charter School Growth Fund
City Garden Montessori School,38,Education Reimagined
Clarendon High School,39,Arkansas Team Digital
Coahoma Early College High School,40,Global Teaching Project
CodeRVA Regional High School,41,Virginia Department of Education
Columbia Heights Educational Campus (CHEC),42,228 Accelerator
Columbia High School,43,"Idaho State Department of Education - Idaho Mastery Education Network,Idaho State Department of Education - Idaho Mastery Education Network"
Common Ground High School,44,Barr Foundation
Community Lab School,45,"EdSurge,Overdeck Family Foundation"
Compass Academy,46,Education First
Concourse Village Elementary School,47,"Overdeck Family Foundation,TNTP,The Learning Accelerator,The Learning Accelerator"
Conservatory Lab Charter School,48,Center for Artistry and Scholarship
Crosstown High,49,"XQ Institute,Tennessee Charter School Center"
Dan D. Rogers Elementary School,50,"The Learning Accelerator,The Learning Accelerator"
Da Vinci Extension,51,"ReSchool Colorado,ReSchool Colorado"
DB EXCEL (Kingsport),52,Tennessee SCORE
DC Bilingual Public Charter School,53,"National Charter Collaborative,Digital Promise,The Center for Learner Equity"
Denver School of Innovation and Sustainable Design,54,PBLWorks
Derry Elementary,55,CA Group Consulting
Design Tech High School,56,Next Generation Learning Challenges
Design39Campus,57,"The Learning Accelerator,The Learning Accelerator,Transcend"
Digital Pioneers Academy,58,"Philanthropy Roundtable,The Center for Learner Equity,NewSchools Venture Fund,Transcend"
Du Bois Integrity Academy,59,Power My Learning
Duchesne High School,60,Utah State Board of Education
e3 Civic High School,61,"Next Generation Learning Challenges,Next Generation Learning Challenges"
Early Technical College at Tennessee College of Applied Technology,62,Tennessee SCORE
East College Prep,63,"NewSchools Venture Fund,NewSchools Venture Fund"
USC Hybrid High College Prep,64,"Transcend,Charter School Growth Fund"
Elmer G Bondy Intermediate,65,CA Group Consulting
Ember Charter School for Mindful Education; Innovation; and Transformation,66,"Digital Promise,National Charter Collaborative"
Empower Community High School,67,"Moonshot EdVentures,Teach for America,ReSchool Colorado,Moonshot EdVentures,Moonshot EdVentures,NewSchools Venture Fund"
Envision Academy,68,National Center for Learning Disabilities
EPiC Elementary,69,The Learning Accelerator
Evergreen Community Charter School,70,National Center for Learning Disabilities
Fannie Lou Hamer Freedom High School,71,"Big Picture Learning,Big Picture Learning,Big Picture Learning"
Farmington High School (UT),72,Utah State Board of Education
Farmington High School (CT),73,Connecticut Center for School Change
Strive Prep - Federal,74,Educurious
Oakland FlexTech High School,75,Michigan Department of Education
Flushing International High School,76,"Springpoint Schools,Aurora Institute"
Francis T Maloney High School,77,Connecticut Center for School Change
Francis W. Parker Charter Essential School,78,"National Center for Learning Disabilities,Center for Secondary School Redesign"
Frank McCourt High School,79,Competency Collaborative
Fred Tjardes School of Innovation,80,Springpoint Schools
Future Public School,81,"Bluum,NewSchools Venture Fund,NewSchools Venture Fund"
Garden City,82,Highlander Institute
Gem Prep Nampa,83,"Charter School Growth Fund,NewSchools Venture Fund"
Gibson Ek High School,84,"Transcend,Big Picture Learning,Big Picture Learning,Mastery Transcript Consortium,Big Picture Learning,Mastery Transcript Consortium"
Girls Athletic Leadership Middle School,85,Colorado Education Initiative
Goochland High School,86,Virginia Department of Education
Green Valley Ranch,87,Educurious
Grow Academy Shafter,88,"NewSchools Venture Fund,NewSchools Venture Fund,NewSchools Venture Fund"
Gwendolyn Brooks College Preparatory Academy,89,Illinois State Board of Education
Hamilton County Collegiate High at Chattanooga State,90,Tennessee SCORE
Mott Haven Academy,91,TNTP
High Tech High,92,"National Center for Learning Disabilities,Transcend"
Highfalls Elementary School,93,Digital Learning Institute
Highline Big Picture,94,"Big Picture Learning,Big Picture Learning,Big Picture Learning"
Holmes Central High School,95,Global Teaching Project
Holyoke High School,96,Barr Foundation
Horizons Alternative Education School,97,"EdTech Specialists,MiCoOp"
Howard Middle School for Math and Science,98,228 Accelerator
IDEA Toros College Preparatory,99,Bellwether Education Partners
Urban Discovery High School,100,Center for Secondary School Redesign
Impact | Puget Sound Elementary,101,"Charter School Growth Fund,NewSchools Venture Fund,NewSchools Venture Fund"
Innovations High School,102,"Big Picture Learning,Big Picture Learning"
Iroquois High School,103,EdSurge
John Barry Elementary School,104,Connecticut Center for School Change
Juab High School,105,Utah State Board of Education
Kent Innovation High School,106,"Evergreen Education Group,Michigan Virtual"
Ketcham,107,"Overdeck Family Foundation,EmpowerK12"
Kettle Moraine Explore,108,"Institute for Personalized Learning,Make Learning Personal"
KIPP Academy Lynn Collegiate,109,"Barr Foundation,Center on Reinventing Public Education"
KIPP Liberation,110,Raise Your Hand Texas
Latitude 37.8 High School,111,"Big Picture Learning,XQ Institute,Rogers Family Foundation,Springpoint Schools,Big Picture Learning,NewSchools Venture Fund"
Launch Network at Stedman Elementary,112,"ReSchool Colorado,Moonshot EdVentures"
Lexington 4 Early Childhood Center,113,South Carolina Department of Education Office of Personalized Learning
Liberty Elementary School,114,Chan Zuckerberg Initiative
Lincoln Middle School (IL),115,Illinois State Board of Education
Lindsay Unified High School,116,Transcend
Lodestar,117,Rogers Family Foundation
Logan Innovations,118,Utah State Board of Education
Madison Palmer High School,119,Global Teaching Project
Magnolia Montessori For All,120,Next Generation Learning Challenges
Manual Academy,121,Illinois State Board of Education
Map Academy Charter School,122,"Barr Foundation,Clayton Christensen Institute,Clayton Christensen Institute"
Maple Street Magnet School,123,Center for Assessment
Meadows Valley School PK-12,124,"Idaho State Department of Education - Idaho Mastery Education Network,Idaho State Department of Education - Idaho Mastery Education Network"
Mena High School,125,Arkansas Team Digital
Meridian Technical Charter High School,126,"Idaho State Department of Education - Idaho Mastery Education Network,Idaho State Department of Education - Idaho Mastery Education Network"
MetWest,127,"Big Picture Learning,Big Picture Learning,Big Picture Learning"
Mill Creek Middle School,128,Michigan Virtual
Mineola Elementary,129,CA Group Consulting
Minnesota New Country School,130,EdVisions
Mission Hill K-8 School,131,Education Evolving
Mission Vista High School,132,"Barr Foundation,Next Generation Learning Challenges"
Montpelier High School,133,"Great Schools Partnership,Vermont Learning for the Future"
Native American Community Academy,134,"National Charter Collaborative,NACA Inspired Schools Network,Education First,National Charter Collaborative,Chan Zuckerberg Initiative"
Nativity of Mary Catholic School,135,"Alliance for Catholic Education,Alliance for Catholic Education"
North Carolina School of Science and Mathematics,136,Digital Learning Institute
Nettleton High School,137,Arkansas Team Digital
New Haven Academy,138,"Great Schools Partnership,Great Schools Partnership"
New Legacy Charter School,139,"Big Picture Learning,Moonshot EdVentures,Big Picture Learning"
Noble High School,140,"Great Schools Partnership,Great Schools Partnership,Great Schools Partnership"
Norris Academy,141,"Education Reimagined,Institute for Personalized Learning"
North Edgecombe High School,142,"Public Impact,GreatSchools"
North Little Rock Middle School - 6th Grade Campus,143,Office of Innovation for Education in Arkansas
Northside Elementary School,144,Office of Innovation for Education in Arkansas
Nottingham Elementary School,145,Raise Your Hand Texas
NYC iSchool,146,Competency Collaborative
Oakland High School,147,Tennessee SCORE
Oasis High School,148,Evergreen Education Group
Ocean Bay Middle School,149,Evergreen Education Group
One Stone,150,"Philanthropy Roundtable,Clayton Christensen Institute"
Orlo Avenue Elementary,151,Highlander Institute
Pangburn High School,152,"Office of Innovation for Education in Arkansas,Arkansas Team Digital"
Park View Elementary,153,Digital Learning Institute
Parker-Varney Elementary,154,"PBLWorks,Center for Assessment"
Pasodale Elementary School,155,Raise Your Hand Texas
Pea Ridge Primary/Intermediate,156,Office of Innovation for Education in Arkansas
Piedmont High School,157,Oklahoma Department of Education
Pinckney Community High School,158,Michigan Virtual
