tag,label
nominator,Nominator
school_id,School ID
school_name,School Name
school_address,Address
school_city,City
school_state,State
school_district,District
website,Website
school_descriptor,Type
school_descriptor_homeschool,Homeschool
school_descriptor_hybrid,Hybrid
school_descriptor_microschool,Microschool
school_descriptor_other,Other
school_descriptor_other_text,
school_descriptor_sws,School-within-school
school_descriptor_virtual,Virtual
practices_a_la_carte,à la carte model
practices_accommodations,accomodations provided to all students
practices_adult_wellness,adult wellness/SEL
practices_advancement_mastery,advancement on mastery
practices_advisories,student advisories
practices_all_courses_designed_for_inclusion,all courses designed for inclusion
practices_anti_racist,anti-racist practices
practices_assessments_agency,assessments for agency & self-directed learning
practices_assessments_bilingual,bilingual assessments
practices_assessments_career,assessments for career readiness
practices_assessments_deeper,assessments for deeper learning
practices_assessments_sel,assessments for social-emotional skills
practices_blended_learning,blended learning
practices_career_prep,career prep & work-based learning
practices_co_leaders,co-leadership
practices_community_leaders,CBOs as co-leaders
practices_community_partnerships,community & business partnerships
practices_community_supports,family & community support services
practices_competency_education,competency/mastery-based education
practices_competency_framework,competency framework
practices_culturally_responsive,culturally responsive practices
practices_design_marginalized,design for marginalized students
practices_design_thinking,design thinking process
practices_disaggregated_participation_data,disaggregated student participation data
practices_dual_language,dual language programming
practices_early_college,early college high school
practices_elimination_tracking,no tracked classes
practices_enriched_virtual,enriched virtual model
practices_expanded_open_hours,expanded open hours
practices_extended_learning,extended learning opportunities
practices_families_leaders,families as co-leaders
practices_flex,flex model
practices_flexible_facilities,flexible facilities & classrooms
practices_flexible_staffing,flexible staffing & alternative teaching roles
practices_flipped_classroom,flipped classroom
practices_grading_mastery,grading policies focus on mastery
practices_heritage_language,heritage language courses
practices_hiring_equity,hiring for equity & inclusion values
practices_industry_credentials,students earn industry credentials
practices_industry_leaders,industry-based partners as co-leaders
practices_interdisciplinary,interdisciplinary
practices_interoperability,interoperable data from multiple technologies
practices_learning_paths,individual learning paths
practices_makerspace,makerspace
practices_mental_health,mental health services
practices_mentoring,1:1 mentoring
practices_mtss_academics,multi-tiered system of support (MTSS) in academics
practices_multi_age,multi-age classrooms
practices_opportunities_mastery,multiple opportunities to demonstrate mastery
practices_other_leaders,other co-leaders
practices_pbl,project-based learning
practices_peer_to_peer,peer to peer support
practices_performance_assessment,performance based assessments
practices_physical_well_being,physical well being services
practices_place_based,place-based learning
practices_reallocation_resources,reallocation of resources for those most in need
practices_restorative,restorative practices
practices_sel_curriculum,SEL curriculum
practices_sel_integrated,SEL integration school-wide
practices_service_learning,service learning
