tag,school_id,practices_a_la_carte,practices_accommodations,practices_adult_wellness,practices_advancement_mastery,practices_advisories,practices_all_courses_designed_for_inclusion,practices_anti_racist,practices_assessments_agency,practices_assessments_bilingual,practices_assessments_career,practices_assessments_deeper,practices_assessments_sel,practices_blended_learning,practices_career_prep,practices_co_leaders,practices_community_leaders,practices_community_partnerships,practices_community_supports,practices_competency_education,practices_competency_framework,practices_culturally_responsive,practices_design_marginalized,practices_design_thinking,practices_disaggregated_participation_data,practices_dual_language,practices_early_college,practices_elimination_tracking,practices_enriched_virtual,practices_expanded_open_hours,practices_extended_learning,practices_families_leaders,practices_flex,practices_flexible_facilities,practices_flexible_staffing,practices_flipped_classroom,practices_grading_mastery,practices_heritage_language,practices_hiring_equity,practices_industry_credentials,practices_industry_leaders,practices_interdisciplinary,practices_interoperability,practices_learning_paths,practices_makerspace,practices_mental_health,practices_mentoring,practices_mtss_academics,practices_multi_age,practices_opportunities_mastery,practices_other_leaders,practices_pbl,practices_peer_to_peer,practices_performance_assessment,practices_physical_well_being,practices_place_based,practices_reallocation_resources,practices_restorative,practices_sel_curriculum,practices_sel_integrated,practices_service_learning,practices_social_justice,practices_station_rotation,practices_student_conferences,practices_student_data,practices_student_goals,practices_student_pace,practices_student_projects,practices_students_leaders,practices_teachers_leaders,practices_translanguaging,practices_trauma_informed,practices_tutoring,practices_udl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
school_id,1,-0.041472018,-0.159109918,0.187156893,-0.106309815,-0.117852359,-0.038131096,-0.094479139,-0.013531746,0.117183175,-0.177565345,-0.153778835,-0.249060089,-0.258394875,-0.065963197,-0.236027268,-0.05852956,-0.165103899,-0.041330865,-0.126020726,-0.139655376,-0.172607678,-0.175080588,-0.070390526,0.017227061,0.131354566,-0.00358128,-0.187383585,0.069190065,-0.012062069,-0.163476613,-0.029346658,0.024898317,0.034773493,-0.023595356,-0.038116683,-0.144996651,0.060911043,-0.100658836,-0.004216595,-0.083004249,-0.222121319,-0.185531664,-0.18897766,-0.007945717,-0.116547804,-0.08903809,0.11342407,-0.065689559,-0.133595457,0.101956928,-0.157032258,-0.159920726,-0.07984073,-0.157242459,-0.112295894,-0.193980872,-0.117465316,0.02103466,-0.196472354,-0.222579434,-0.174722735,-0.058968557,-0.130931036,-0.196632561,-0.176037354,-0.193542592,-0.232777477,-0.101264599,-0.182970457,0.133331152,-0.179125502,-0.007605105,0.025701709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_a_la_carte,-0.041472018,1,0.113509121,0.036105515,0.023248388,0.014972119,0.05879014,0.144462514,0.080204516,-0.0146299,0.26599568,-0.021220384,0.050129871,0.309900654,0.223689563,0.132838771,0.136193705,0.141690842,0.002938131,0.071182534,0.13562156,-0.013316069,0.148910602,0.057951165,0.087180884,-0.026322329,0.262307748,0.083236524,0.17314035,0.084989627,0.135382882,0.050112837,0.152753694,0.115858077,0.21555852,0.214309069,0.060589551,0.047316991,0.107463937,0.227937094,0.164583601,0.093381641,0.097546122,0.218260733,0.063884595,0.061636992,0.114506852,0.0589723,0.194303249,0.046723025,-0.05252692,0.125007556,0.060515601,0.064584149,0.032395673,0.157235465,0.262217121,0.061810478,0.118925386,0.077627373,0.050593357,0.049630474,0.083932327,0.066361377,0.016642386,0.144726202,0.169095727,0.150125535,0.089623011,0.163426611,0.033851158,0.054791439,0.01072733,0.1198293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_accommodations,-0.159109918,0.113509121,1,-0.112106785,0.222072775,0.144049414,0.234149396,0.06368828,0.110163522,-0.051369264,0.159771738,0.114565443,0.057497057,0.169135802,0.138822626,0.24939818,0.118011578,0.158801321,0.065264985,0.165906735,0.171088317,0.099695201,0.278795446,0.131206188,0.090891005,-0.108267352,0.090690511,0.227227863,0.113485445,0.140448526,0.152140971,0.192214098,0.074071292,0.230013282,0.089136473,0.236826553,0.135146141,-0.00358385,0.093722444,0.073227623,0.178612662,0.317650581,0.068577381,0.150872921,0.114078412,0.162155101,0.194305533,0.056293697,0.233159221,0.221335674,-0.015993396,0.173163679,0.202053561,0.19139822,0.239701973,0.176784885,0.215917617,0.114076778,-0.001483775,0.180981624,0.189650953,0.14355065,0.01304277,0.123366664,0.275580263,0.177650062,0.281981197,0.182123954,0.149168707,0.226758938,-0.076413533,0.232587197,0.08416165,0.265189434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_adult_wellness,0.187156893,0.036105515,-0.112106785,1,-0.00413393,-0.007004684,0.09897316,0.105717514,0.016399165,0.21692973,0.013970434,-0.101385197,0.081050106,-0.073682217,0.058621814,0.038759996,0.105929745,0.062627493,0.1321906,-0.075781789,0.060537712,0.192879469,0.153381857,-0.021954416,0.036547399,0.123520797,-0.0109366,0.021262392,0.001581435,-0.034650374,0.008295782,0.075767295,-0.065265209,0.05934157,-0.059804611,0.02637105,0.024691381,0.060698069,0.222321487,-0.037848423,0.044708222,-0.029864784,0.030529149,-0.003903975,-0.047610033,0.063339838,0.061454123,0.152756225,-0.07059537,-0.019369521,0.052506276,0.006717507,-0.006182097,-0.01655957,0.149066004,0.005040932,0.034890025,0.214631458,0.192075574,0.058836698,-0.037004666,0.114235781,0.108967806,0.088120069,-0.027101,0.003901256,-0.056279409,0.034738862,0.087802073,0.108509287,0.215318525,0.142558985,-0.024495418,0.154316591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_advancement_mastery,-0.106309815,0.023248388,0.222072775,-0.00413393,1,0.100640626,0.116310413,0.09251511,0.172655963,-0.06619481,0.123215104,0.158277887,0.179572779,0.145937501,0.079670234,0.148133629,0.011032213,0.043188525,-0.060186627,0.41287738,0.318924751,0.137733903,0.155125168,0.219533882,0.146086192,-0.085786309,0.148822325,0.181573268,0.103035049,0.075248363,0.112952078,-0.066223119,0.19740686,0.167379853,0.158785252,0.202861891,0.32735733,-0.027179643,0.181706126,0.01846378,0.011912774,0.217599159,0.223755209,0.263770119,0.248414467,-0.010770703,0.141715122,0.04460466,0.236322585,0.238271226,-0.116985627,0.071112486,0.157540744,0.15375223,0.05938243,0.083668026,0.015236778,0.141301016,0.017344685,0.132704871,0.108887843,-0.017583999,0.082441974,0.089289504,0.208131227,0.183633121,0.271767193,0.094936258,0.163280618,0.144777539,-0.111968016,0.149598184,0.145937501,0.141402042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_advisories,-0.117852359,0.014972119,0.144049414,-0.007004684,0.100640626,1,0.326241008,0.216152739,0.069806309,0.029975306,0.237373848,0.146249462,0.120423115,0.046651708,0.344609812,0.28186132,0.129354729,0.197372876,0.017954172,0.179818458,0.208354137,0.144421529,0.207429876,0.098795836,0.110304513,-0.075098418,0.200988359,0.313142089,0.072461998,0.046612122,0.16291703,0.129948358,0.0156423,0.059044049,0.099983762,0.0911186,0.196135693,0.083672183,0.248051432,0.231996795,0.114669091,0.215594529,0.110867871,0.242367435,0.068725295,0.209612099,0.251826993,0.133867272,0.026255059,0.192752866,0.0545905,0.188921869,0.118534382,0.360636852,0.098490083,0.247410402,0.251545157,0.226044781,0.076922164,0.165863448,0.185023071,0.282353196,0.008327986,0.220400681,0.265633426,0.352419376,0.117687517,0.031191116,0.240196957,0.278443091,0.134325813,0.043006644,0.079870372,0.183330998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_all_courses_designed_for_inclusion,-0.038131096,0.05879014,0.234149396,0.09897316,0.116310413,0.326241008,1,0.190118789,0.095734129,0.076463474,0.110820441,0.15822255,0.124120658,-0.057783385,0.225531348,0.195104684,0.075355165,0.193185471,0.089186124,0.168369368,0.191238555,0.267374087,0.372973437,0.158208708,0.133152834,0.119838644,0.137994325,0.267987265,-0.028894353,0.099241683,0.105996624,0.073769535,0.007373439,0.215782609,0.186625537,0.07627129,0.142392182,0.021603852,0.232148009,0.029848261,0.044833454,0.316468803,0.197475853,0.108977315,0.109728345,0.133041431,0.188611652,0.051022119,0.143114346,0.24054245,0.022748745,0.249150823,0.165393711,0.223864091,0.212231313,0.195969274,0.222579417,0.247102801,0.108977315,0.13077093,0.069286952,0.210199036,0.004469113,0.245265386,0.204774707,0.20403615,0.118197438,0.136993584,0.128515395,0.218134174,0.106666071,0.152702474,0.01500773,0.154158113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_anti_racist,-0.094479139,0.144462514,0.06368828,0.105717514,0.09251511,0.216152739,0.190118789,1,0.029252626,0.069867623,0.006026851,0.111150139,0.061852411,-0.065921785,0.074572537,0.124783654,0.063728583,0.02829575,0.116155561,0.069441954,0.067831469,0.40333371,0.229912471,0.064521026,0.109978978,0.032222273,0.093204533,0.299891568,-0.006619818,-0.066611621,0.031409791,0.048832384,-0.098948158,0.019222294,0.113443562,0.002490081,0.096297509,0.122644221,0.454996592,-0.012810992,0.014532945,0.231662444,0.036093982,0.025042668,-0.039032363,0.137307514,0.199299281,0.088482568,0.056579736,0.011236928,0.017772404,0.147564833,0.209175417,0.214913599,0.103045136,0.18754413,0.23728808,0.342068907,0.138153122,0.218173329,0.044253604,0.545791142,-0.025065201,0.098395461,0.048729166,0.081324765,-0.025798212,0.065562971,0.061450952,0.117398917,0.114221942,0.192969973,-0.033477926,0.198595147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_assessments_agency,-0.013531746,0.080204516,0.110163522,0.016399165,0.172655963,0.069806309,0.095734129,0.029252626,1,-0.077450892,0.054817418,0.195995277,0.052411313,-0.020606045,0.177564688,0.097792668,0.114671209,0.139663318,-0.088180706,0.157881683,0.159705205,0.006817009,0.061095886,0.22960432,-0.023043172,-0.105202798,0.060983608,0.077018255,-0.000441093,0.029427006,0.137926285,0.091099676,0.244460706,0.170043057,0.106377036,0.130535331,0.137926285,-0.022906503,0.017115726,0.038780486,0.122497736,0.118206502,0.121346513,0.149892268,0.090391143,-0.074454824,0.110636207,0.064984751,0.158104668,0.132474132,-0.073760319,0.115697383,0.069349417,0.203496983,-0.033881267,0.233866791,0.065797449,0.09991545,0.130153045,-0.006125837,0.08991808,0.044906233,0.063570722,0.175202507,0.165667864,0.261046134,0.205470445,0.248039549,0.131307603,0.119042415,-0.037345854,0.03056494,0.019027038,0.205470445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_assessments_bilingual,0.117183175,-0.0146299,-0.051369264,0.21692973,-0.06619481,0.029975306,0.076463474,0.069867623,-0.077450892,1,0.135243637,-0.040195053,0.005615011,-0.060896414,0.092227529,-0.049769213,0.059466471,0.101749814,0.249201985,-0.055333711,-0.014849008,0.111110557,0.02225542,-0.082489127,0.121626722,0.595357901,0.01717813,-0.15359158,0.050949269,0.002258487,0.053170749,-0.077450892,0.043844767,-0.039262134,-0.099530837,-0.058770719,0.030357317,0.245710733,0.159205977,0.059296125,0.022226497,-0.161633761,-0.03387595,-0.005160526,-0.117103992,0.133506062,-0.015506439,0.158115726,-0.076430205,-0.160085149,0.021148698,0.014465569,0.018816861,-0.032778826,0.081865016,-0.04073594,-0.011528845,0.104997436,0.040288317,0.066229901,0.012894796,0.129602719,-0.018558784,-0.019525007,0.014231641,-0.067667174,-0.065377416,-0.037067614,0.000656833,0.018164812,0.348350813,0.115224838,0.098797614,-0.020295736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
