"school_id","var_21","usage_a","usage_c","covid_change"
3,"enriched_virtual",1,0,1
3,"fully_remote",0,0,0
3,"fully_in_person",1,1,0
3,"hybrid",1,0,1
3,"rotating_schedule",0,0,0
3,"asynchronous_online",0,0,0
3,"remote_accommodations",1,0,1
3,"family_learning",1,0,1
3,"digital_materials",1,1,0
3,"families_choose_modality",1,0,1
3,"half_days",0,0,0
3,"alternating_days",0,0,0
3,"synchronous_online",1,1,0
3,"print_materials",1,1,0
3,"alternating_weeks",0,0,0
3,"teachers_choose_modality",0,0,0
8,"enriched_virtual",0,0,0
8,"fully_remote",0,0,0
8,"fully_in_person",1,1,0
8,"hybrid",0,0,0
8,"rotating_schedule",0,0,0
8,"asynchronous_online",1,0,1
8,"remote_accommodations",0,0,0
8,"family_learning",1,1,0
8,"digital_materials",1,1,0
8,"families_choose_modality",0,0,0
8,"half_days",0,0,0
8,"alternating_days",0,0,0
8,"synchronous_online",1,0,1
8,"print_materials",0,1,1
8,"alternating_weeks",0,0,0
8,"teachers_choose_modality",0,0,0
15,"enriched_virtual",1,1,0
15,"fully_remote",1,1,0
15,"fully_in_person",0,0,0
15,"hybrid",0,0,0
15,"rotating_schedule",0,0,0
15,"asynchronous_online",1,1,0
15,"remote_accommodations",1,1,0
15,"family_learning",0,1,1
15,"digital_materials",1,1,0
15,"families_choose_modality",0,0,0
15,"half_days",0,0,0
15,"alternating_days",0,0,0
15,"synchronous_online",1,1,0
15,"print_materials",1,1,0
15,"alternating_weeks",0,0,0
15,"teachers_choose_modality",0,0,0
24,"enriched_virtual",0,1,1
24,"fully_remote",1,1,0
24,"fully_in_person",0,0,0
24,"hybrid",0,1,1
24,"rotating_schedule",1,0,1
24,"asynchronous_online",1,1,0
24,"remote_accommodations",1,1,0
24,"family_learning",1,0,1
24,"digital_materials",0,1,1
24,"families_choose_modality",0,1,1
24,"half_days",0,0,0
24,"alternating_days",1,0,1
24,"synchronous_online",1,1,0
24,"print_materials",0,0,0
24,"alternating_weeks",0,0,0
24,"teachers_choose_modality",0,0,0
32,"enriched_virtual",1,1,0
32,"fully_remote",1,0,1
32,"fully_in_person",0,0,0
32,"hybrid",0,1,1
32,"rotating_schedule",0,1,1
32,"asynchronous_online",0,1,1
32,"remote_accommodations",1,1,0
32,"family_learning",1,1,0
32,"digital_materials",1,1,0
32,"families_choose_modality",0,0,0
32,"half_days",0,0,0
32,"alternating_days",0,1,1
32,"synchronous_online",1,1,0
32,"print_materials",1,0,1
32,"alternating_weeks",0,0,0
32,"teachers_choose_modality",0,0,0
35,"enriched_virtual",0,1,1
35,"fully_remote",0,1,1
35,"fully_in_person",0,0,0
35,"hybrid",1,0,1
35,"rotating_schedule",0,0,0
