"school_id","school_name","ai_innovation","ai_policy","ai_policy_text","school_city","school_state","school_type","school_locale","school_enrollment","school_level","last_participated","n_years"
7,"American Academy of Innovation",NA,"Yes","Banned by the state due to student data privacy.","South Jordan","Utah","Public charter school","Rural",378,"Jr/Sr High",2024,3
8,"Anastasis Academy","Yes! We have trained a GPT on our model, our writings, and our curriculum to help personalize learning.","No",NA,"Centennial","Colorado","Independent (private) school","Suburban",54,"K-8",2024,5
24,"Boston Day and Evening Academy","Not at this time.","No",NA,"Boston","Massachusetts","Public charter school","Urban",310,"High",2024,5
26,"Canon City High School","Teaching students how to use it in writing and presentations.","No",NA,"Canon City","Colorado","Public district school","Rural",1000,"High",2024,3
32,"Charlotte Lab School","Just starting... to make the development of our project-based units more accessible to teachers who struggle with writing their own curriculum. Using AI to align reading/writing standards to our current project-based units.","No, but we are in the process of developing one",NA,"Charlotte","North Carolina","Public charter school","Urban",950,"K-12",2024,3
41,"CodeRVA Regional High School",NA,"Yes","Plagiarism in any form is not acceptable at CodeRVA.  We acknowledge the presence of Artificial Intelligence (AI) based language models like ChatGPT and their potential to enhance learning experiences. However, we must responsibly leverage AI as an iterative and ethical tool to enhance authentic student work. The improper use of AI includes using or copying language, structure, idea, and/or thought of AI and representing it as one's own original work.  To maintain academic integrity, it is important to cite the use of AI models appropriately, adhering to the same principles as other external sources. AI is a tool and thought partner that can augment learning, but it does not replace critical thinking. Students who engage in plagiarism of any form will be subject to academic penalties and/or disciplinary action.","Richmond","Virginia","Public district school","Multiple",351,"High",2024,5
52,"DB EXCEL (Kingsport)","Teachers know it is here to stay, so they intentionally leverage AI to maximize learning.","No",NA,"Kingsport","Tennessee","Public district school","Suburban",250,"High",2024,5
56,"Design Tech High School","We talk about AI frequently sharing ways we can use it to support teacher work, and the work of non-teaching staff. We talk with students about using/creating AI tools in their own design work.","No, but we are in the process of developing one",NA,"Redwood City","California","Public charter school","Suburban",545,"High",2024,2
76,"Flushing International High School","Just like TV, the internet, and any technology it has its place.  Right now the unknown feels scary and it feels like we are trying to use AI for everything. We will hopefully find a happy medium that it make us better as educators.","No, but we are in the process of developing one",NA,"New York","New York","Public district school","Urban",423,"High",2024,4
84,"Gibson Ek High School","Beginning to use available resources for project planning and management","No",NA,"Issaquah","Washington","Public district school","Suburban",195,"High",2024,4
98,"Howard Middle School for Math and Science","We use AI consistently in our classrooms. Our teachers are designing lessons in using AI where AI provides feedback to students responses. We use AI in our mathematics classrooms where students are using machine learning and develop algorithms to answer questions about the concepts that they are learning.","Yes","The integration of AI technologies aims to enhance educational outcomes, personalize learning experiences, and streamline administrative tasks, while ensuring the safety, privacy, and well-being of all students and staff.  Ethical Use and Equity: AI tools must be employed to support inclusive and equitable education for all students, irrespective of their background or abilities. AI applications should be free from biases and promote fairness and diversity in the learning environment.  Privacy and Data Security: All AI systems will adhere to stringent data protection standards, safeguarding student information in compliance with applicable privacy laws. Consent from parents or guardians will be mandatory for any student data collection by AI technologies.  Transparency and Human Oversight: AI usage in the school will be transparent, with clear communication to students, parents, and staff about how and why AI is used. Decisions influenced by AI will be subject to final review by human personnel to ensure accountability.  Curriculum Integration: AI will be integrated into the curriculum to complement and enhance traditional teaching methods, not replace them. Teachers will receive training to effectively use AI tools in their instruction.  Safety and Continuous Evaluation: We commit to maintaining a safe learning environment, both physically and digitally. The impact of AI on student learning and well-being will be continuously monitored, with adjustments made based on feedback from the school community.","Washington","District of Columbia","Public charter school","Urban",288,"Middle",2024,5
105,"Juab High School","We encourage the use of AI by teachers and students in responsible and meaningful ways. We believe that AI should enhance the learning experience and improve the efficiency and effectiveness of our teachers.","No",NA,"Nephi","Utah","Public district school","Rural",874,"High",2024,5
132,"Mission Vista High School","Site leadership is encouraging teachers to embrace AI, and our district is formulating a policy around it's use in the learning environment.  Meantime, teachers are using AI tools to assist in planning instruction, providing feedback to students, etc., and we are creating spaces for the early adopters to share what they're doing and learning with colleauges.","No, but we are in the process of developing one",NA,"Oceanside","California","Public district school","Suburban",1640,"High",2024,5
141,"Norris Academy","We have learning specialist who partner with learners in personal pursuits where it is used.  We are using it administratively to help produce internal documents.","No",NA,"Mukwonago","Wisconsin","Public district school","Rural",80,"K-12",2024,4
150,"Lab51","We primarily use AI to support our data analysis efforts.","No",NA,"Boise","Idaho","Independent (private) school","Multiple",92,"High",2024,5
184,"Siloam Springs High School Conversion Charter","Our administration uses AI to summarize staff, student, and parent surveys.","No, but we are in the process of developing one",NA,"Siloam Springs","Arkansas","Public charter school","Rural",1370,"High",2024,2
208,"TRIO Wolf Creek Distance Learning Charter School","We are starting to investigate this option","Yes","They are not currently allowed to utilize AI with assignments","Chisago City","Minnesota","Public charter school","Rural",220,"High",2024,4
246,"Blessed Sacrament Catholic School","We have started exploring with teachers and how AI can do some of the heavy lifting so teachers and tasks at hand","No, but we are in the process of developing one",NA,"Milwaukee","Wisconsin","Independent (private) school","Urban",181,"K-8",2024,2
256,"Da Vinci RISE High","Yes, Da Vinci Schools has developed a program that uses AI to fuel project based learning. Designed with the teachers and students at Da Vinci Schools, Project Leo provides the tools necessary to bring personalized Project Based Learning into every classroom. Our AI-enhanced learning platform gives students the freedom to build projects that truly inspire them while getting feedback from teachers, professionals, and peers throughout the process. Leverage the latest AI tools in a safe way to give your students a more purposeful and engaging learning experience. (https://institute.davincischools.org/project-leo.html)","No, but we are in the process of developing one",NA,"Los Angeles","California","Public charter school","Urban",187,"High",2024,1
266,"Embark Education","Our learners are leading the development of this","No, but we are in the process of developing one",NA,"Denver","Colorado","Independent (private) school","Urban",32,"Middle",2024,4
292,"Intrinsic Charter School","We are running a pilot with Khanmigo at our Belmont Campus.","No, but we are in the process of developing one",NA,"Chicago","Illinois","Public charter school","Urban",1800,"Jr/Sr High",2024,4
293,"Iowa BIG","Our English teacher encourages students to use AI to construct writings before they begin writing for themselves, using it as a tool for understanding how to write effectively and succinctly. Our staff discusses AI and helps students understand both the promise and the perils of AI on themselves, their learning, and their ability to distinguish fact from fantasy.","No, but we are in the process of developing one",NA,"Cedar Rapids","Iowa","Public district school","Multiple",80,"High",2024,4
303,"Living School","We are just starting to explore this","No",NA,"New Orleans","Louisiana","Public charter school","Urban",175,"High",2024,4
312,"Nashville Big Picture High School","Not yet","No, but we are in the process of developing one",NA,"Nashville","Tennessee","Public district school","Urban",145,"High",2024,4
313,"Nawayee Center School","No.","No",NA,"Minneapolis","Minnesota","Public district school","Urban",50,"Jr/Sr High",2024,2
319,"Nipmuc Regional High School","Nipmuc has embedded AI in the school's """"""""Leveling Up Protocol"""""""" which is used by teachers to design authentic learning experiences. The protocol provides questions that can help educators to discover ways to make meaningful connections between the curriculum and the world beyond our school's campus.","No",NA,"Upton","Massachusetts","Public district school","Suburban",556,"High",2024,4
325,"NuVu Innovation School","Yes, 100%. We have several AI-focused studios in our curriculum.","No",NA,"Cambridge","Massachusetts","Independent (private) school","Multiple",55,"High",2024,3
345,"Saint John Paul II","Yes, through robust learning technology in our blended learning platforms. Teachers are also using AI to help generate ideas and writing tasks.","No, but we are in the process of developing one",NA,"Minneapolis","Minnesota","Independent (private) school","Urban",215,"K-8",2024,4
