school_id,school_name,year
1,A2 Virtual + Academy,2019
3,The Academy of Advanced Learning,2019
4,Albemarle Road Elementary School,2019
6,Amana Academy,2019
7,American Academy of Innovation,2019
8,Anastasis Academy,2019
9,Armada High School,2019
11,Aspen Academy,2019
15,Avalon School,2019
16,Avanti High School,2019
19,Barrington Middle School,2019
23,Booneville High School,2019
24,Boston Day and Evening Academy,2019
25,Bronx Arena High School,2019
27,Casco Bay High School,2019
28,Center Line High School - Wall to Wall Academies,2019
30,Charles W. Eliot PreK-8th Grade School,2019
32,Charlotte Lab School,2019
33,Chastain Road Elementary,2019
34,Childersburg Middle School,2019
35,CICS West Belden,2019
36,Cisco Elementary,2019
37,Citizens of the World Hollywood,2019
38,City Garden Montessori School,2019
39,Clarendon High School,2019
40,Coahoma Early College High School,2019
41,CodeRVA Regional High School,2019
42,Columbia Heights Educational Campus (CHEC),2019
44,Common Ground High School,2019
45,Albemarle County Community Public Charter School (Community Middle),2019
46,Compass Academy,2019
47,Concourse Village Elementary School,2019
48,Conservatory Lab Charter School,2019
49,Crosstown High,2019
50,Dan D. Rogers Elementary School,2019
52,DB EXCEL (Kingsport),2019
53,DC Bilingual Public Charter School,2019
54,Denver School of Innovation and Sustainable Design,2019
56,Design Tech High School,2019
57,Design39Campus,2019
58,Digital Pioneers Academy,2019
59,Du Bois Integrity Academy,2019
62,Early Technical College at Tennessee College of Applied Technology,2019
63,East College Prep,2019
64,USC Hybrid High College Prep,2019
65,Elmer G Bondy Intermediate,2019
67,Empower Community High School,2019
69,EPiC Elementary,2019
70,Evergreen Community Charter School,2019
71,Fannie Lou Hamer Freedom High School,2019
72,Farmington High School,2019
73,Farmington High School,2019
75,FlexTech High School,2019
76,Flushing International High School,2019
77,Francis T Maloney High School,2019
78,Francis W. Parker Charter Essential School,2019
79,Frank McCourt High School,2019
80,Fred Tjardes School of Innovation,2019
81,Future Public School,2019
83,Gem Prep Nampa,2019
84,Gibson Ek High School,2019
85,Girls Athletic Leadership Middle School,2019
88,Grimmway Academy Shafter,2019
89,Gwendolyn Brooks College Preparatory Academy,2019
90,Hamilton County Collegiate High at Chattanooga State,2019
91,Mott Haven Academy,2019
93,Highfalls Elementary School,2019
94,Highline Big Picture,2019
95,Holmes Central High School,2019
97,Horizons Alternative Education School,2019
98,Howard Middle School for Math and Science,2019
100,IDEATE High School/Urban Discovery High School,2019
101,Impact | Puget Sound Elementary,2019
102,Innovations High School,2019
103,Iroquois High School,2019
104,John Barry Elementary School,2019
105,Juab High School,2019
106,Kent Innovation High School,2019
108,Kettle Moraine Explore,2019
