"school_id","panel_year","school_city","school_state","school_district","nces_id","locale","self_reported_grades_pre_k","self_reported_grades_kindergarten","self_reported_grades_1st","self_reported_grades_2nd","self_reported_grades_3rd","self_reported_grades_4th","self_reported_grades_5th","self_reported_grades_6th","self_reported_grades_7th","self_reported_grades_8th","self_reported_grades_9th","self_reported_grades_10th","self_reported_grades_11th","self_reported_grades_12th","self_reported_race_aian","self_reported_race_asian","self_reported_race_hispanic","self_reported_race_black","self_reported_race_white","self_reported_race_multiple","self_reported_race_nhpi","self_reported_frpl","self_reported_total_enrollment","self_reported_swd","self_reported_ell","grades_elementary","grades_middle","grades_high","school_descriptor_sws","school_descriptor","school_descriptor_alt2019","title_i_schoolwide","term_2021","leader_tenure","leaps_high_expectations","leaps_whole_child","leaps_rigorous_learning","leaps_relevance","leaps_affirmation","leaps_social_consciousness","leaps_connection","leaps_customization","leaps_self_direction","leaps_anytime_anywhere","self_reported_ela","self_reported_math","leaps_rank_high_expectations","leaps_rank_whole_child","leaps_rank_rigorous_learning","leaps_rank_relevance","leaps_rank_affirmation","leaps_rank_social_consciousness","leaps_rank_connection","leaps_rank_customization","leaps_rank_self_direction","leaps_rank_anytime_anywhere","leadership_diversity","teaching_diversity","leader1_race","leader1_gender","leaps_interest"
1,2019,"Ann Arbor","Michigan","Ann Arbor Public Schools",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2019,"Charlottesville","Virginia","Albemarle County School District","510009002796","Urban",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.04,0.06,0.76,0.14,0,0.34,47,48.9,4.3,0,1,0,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2019,"Charlotte","North Carolina","Charlotte-Mecklenburg Schools","370297001186","Urban",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.00427715996578272,0.108639863130881,0.53721129170231,0.302822925577417,0.0359281437125748,0.00684345594525235,0.00427715996578272,0.982035928143713,1136,10.2,47.1,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2019,"Alpharetta","Georgia","Single site charter","130228003535","Urban",0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.166666666666667,0.121212121212121,0.380165289256198,0.279614325068871,0.0495867768595041,0.00275482093663912,0.544077134986226,742,6.3,9.8,1,1,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2019,"South Jordan","Utah","American Academy of Innovation","490018601483","Rural",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0.0187793427230047,0.0516431924882629,0,0.915492957746479,0.0140845070422535,0,NA,NA,NA,NA,0,1,1,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2019,"Centennial","Colorado","none provided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2019,"Armada","Michigan","Armada Area Schools","260324004042","Rural",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.00455235204855842,0,0.0136570561456753,0,0.975720789074355,0.00606980273141123,0,0.176024279210926,697,7.2,0.6,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2019,"Greenwood Village","Colorado","none provided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2019,"St. Paul","Minnesota","Avalon Charter","270018703140","Urban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0254777070063694,0.0700636942675159,0.0382165605095541,0.133757961783439,0.732484076433121,NA,NA,0.261146496815287,129,41.1,0,0,0,1,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2019,"Olympia","Washington","none provided","530618002689","Urban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,NA,NA,0.0880503144654088,0.00628930817610063,0.786163522012579,0.119496855345912,NA,0.345911949685535,146,9.6,0,0,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
