"nominator","school_id","school_name_n","school_city_n","school_state_n","school_district_n","nominator_reason_n","year"
"Anonymous",2,"Academies of Hampton","Hampton","Virginia","Hampton City Public Schools",NA,2019
"EdTech Specialists, LLC",5,"Alpena Career Tech Education Center","Alpena","Michigan","Alpena Public Schools","The Career Tech Education Center in Alpena is working with its community and businesses to create opportunities for their community that are changing the focus of the community as they grow and build new options for the work place and employment.  Alpena is a remote community, off the beaten path.  Their CTE program is ramping up meaningful ways for individuals and business to grow as they attract additional ways to generate revenue.  The CTE program is developing the work force for many of these opportunities.  As a recent recipient of several grants, including one for the states Marshall Plan, Alpena's CTE is providing high tech environments that will put Alpena on the map!",2019
"Highlander Institute",10,"Asa Messer Elementary School","Providence","Rhode Island","Providence Public Schools","Asa Messer is moving the needle in terms of supporting teachers as they implement a blended and personalized model in their classrooms. Each teacher is supported within one or two coaching cycles throughout the year. Support is offered through either an internal literacy/math coach or an external support partner, such as the Highlander Institute. These cycles of support are anchored in student data analysis, building plans for grade level teams or individual teachers as they address students varying needs. Another area of focus is the exploration of best practices and strategies to implement. A continuous improvement plan is utilized to help teachers, coaches and administrators analyze if the implemented practice is effectively working. Throughout the community, there is a culture that consistently supports all learners, both students, and adults, at whatever entry point. ",2019
"Anonymous",12,"Aspire Richmond Tech","Oakland","California","Aspire Public Schools","Focus on blended learning; part of high-quality charter network with proven results",2019
"Anonymous",13,"Atlanta Speech School","Atlanta","Georgia",NA,"Deep understanding of the science of learning drives practice; focus on relationships; excellent use of data to understanding each child's precise learning strengths and needs; eye towards exporting its learning for broader impact",2019
"Building Blocks Education",14,"Austin Road Elementary School","Stockbridge","Georgia","Henry County Schools","This school, in a very short period of time, has gone from providing traditional, teacher-centered instruction to empowering students to exercise agency in almost every aspect of their learning.  Students in every classroom (1) analyze their formative assessment data to determine what to work on, (2) set short-term goals to prioritize their work, (3) choose the resources and activities they use for learning, and (4) use formative assessments to determine when they're ready to move forward.  What stands out about this school's model is that students don't just make a few arbitrary choices, but exercise real agency in all of the meaningful aspects of their learning from start to finish.  Teachers have truly shifted their roles from telling students what to learn and how to learn it, to helping students drive their own learning.  Finally, the school has made rapid progress in implementing their model by setting consistent expectations for all teachers and providing school-wide professional development.  I'm excited to nominate this school because they show it's possible to transform instruction across an entire school in a short period of time.",2019
"Anonymous",17,"Aveson","Altadena","California","Aveson Charter Schools","Aveson Global Leadership Academy provides middle and high school students with the academic and leadership skills necessary to be leaders in the global community. Students graduate from AGLA having built a resume of academic success, social entrepreneurial experiences, and healthy living practices. These achievements are accomplished through a highly supportive advisory system within a democratic learning community. At AGLA, every student is empowered to be an active participant in their education through Aveson's Personalized Mastery Learning model. In Personalized Mastery Learning, teachers take on the role of Academic Advisors. Advisors, in conjunction with students, collaboratively design learning experiences in order to support students in achieving their goals.  Through Personalized Mastery Learning, students help dictate what and how learning happens. Additionally, students help determine when they are ready to demonstrate evidence of learning. Advisors are given the professional autonomy to personalize learning in order to optimize learning for every student.",2019
"Educurious",18,"Barbara Morgan STEM Academy","Meridian","Idaho","West Ada School District","This is a fully development STEM Project-Based Learning school.  Students drive their own questions and work on complex engineering designs.  They are a 1-1 school using technology in robust and effective ways.",2019
"EdTech Specialists, LLC",20,"Bedford Homeschool Partnership","Richland","Michigan","Gull Lake Community Schools","The Homeschool Partnership is leading the way the entire district addresses personalization.  Their attention to engaging the community in education their students while providing individual attention to students and their families is a model that is changing education in the Gull Lake Community Schools and across the state of Michigan.  It has led the district to developing a self-directed learning model that will go district wide.",2019
"EdTech Specialists, LLC",21,"Berrien Springs Virtual School","Berrien Springs","Michigan","Berrien Springs Public Schools","Berrien Springs established its virtual school over 10 years ago.  Over the 10 years, they have reached out statewide to provide infrastructures that meet the needs of students who otherwise would not have the opportunities for alternative ways to learn.  Their philosophy is to build programs around the student rather than the other way around.  Their attention to the social emotional needs of students is evident in the priority they have made to have social workers on staff for student needs.  ",2019
