Tag,Variable name,Description,Cluster 2023 (canopy-dac-23 > scripts > clustering23),Cluster 2022,"Cluster 2019 (factor analysis, blog post)",Proposed Cluster for Preliminary '24 Analysis,Strength of Fit for Preliminary '24 Analysis,Notes
assessments for deeper learning,,"The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.",Deeper learning,Deeper learning,Project-based,Deeper learning,Stronger,
design thinking process,,"Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.",Deeper learning,Deeper learning,Project-based,Deeper learning,Stronger,
multiple opportunities to demonstrate mastery,,Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,Deeper learning,Deeper learning,Competency-based,Deeper learning,Stronger,
performance based assessment,,"Students apply knowledge or demonstrate a skill in place of traditional assessment, for example, through portfolios, projects, and other displays of progress toward goals.",Deeper learning,Deeper learning; Postsecondary,Competency-based; Project-based,Deeper learning,Stronger,
project-based learning,,"Students learn through answering complex questions or solving for real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company). Also called problem-based learning, inquiry-based learning, or learning-by-doing.",Deeper learning,Postsecondary; Deeper learning,Project-based,Deeper learning,Stronger,
competency framework,,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,Deeper learning,Deeper learning; Flexible pathways,Competency-based,Deeper learning,Weaker,
competency/mastery-based education,,"The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.",Deeper learning; Individualized,Deeper learning,Competency-based,Deeper learning,Weaker,
interdisciplinary,,"Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.",Deeper learning,Flexible pathways,Project-based,Deeper learning,Weaker,
makerspace,,Students can access a space and/or set of tools for use in building and designing creations.,Deeper learning,No cluster,Project-based,Deeper learning,Weaker,
place-based learning,,"The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.",Deeper learning,NOT Blended,Project-based; Equity & SEL,Deeper learning,Weaker,
student-led conferences,,"Students plan and lead a meeting including parents and teachers to discuss the student's learning, growth, Individual Education Program (IEP) and/or reclassification from English Learner services if applicable. (As opposed to parent-teacher conferences without students present.)",No cluster,Deeper learning,Project-based; Equity & SEL,Deeper learning,Weaker,
students develop projects,,"Students are partners and leaders in designing, implementing, and assessing projects.",Deeper learning,Postsecondary,Project-based,Deeper learning,Weaker,
anti-racist practices,,The learning environment is building a culture of taking direct action to dismantle policies and practices that create or perpetuate inequality between racial groups.,Ed justice,Ed justice,N/A,Ed justice,Stronger,
assessments for social-emotional skills,,"The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.",Ed justice; Individualized,Ed justice,Equity & SEL,Ed justice,Stronger,
culturally responsive practices,,Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,Ed justice,Ed justice,Equity & SEL,Ed justice,Stronger,
design to meet needs of students who have been marginalized,,"The learning environment identifies circumstances impacting students who have been most marginalized in order to intentionally design innovations that improve experiences and outcomes for those students. (Students who have been marginalized may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.)",Ed justice,Ed justice,"Equity & SEL; Competency-based (""equity"")",Ed justice,Stronger,
family and community support services,,"The learning environment offers (or partners to offer) social and wraparound support services to meet the needs of families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.",NOT Deeper learning; Ed justice,Ed justice,Equity & SEL,Ed justice,Stronger,
hiring for equity and inclusion values,,"Hiring practices are designed to result in new hires with equity- and inclusion-focused values. The learning environment may employ specific innovations such as: students or community members on the interview committee, equity and positionality rubrics in use, hiring pool stays open until qualified diverse candidates are identified.",Ed justice,Ed justice,Equity & SEL,Ed justice,Stronger,
mental health services,,The learning environment offers (or partners to offer) comprehensive counseling and mental health services for students.,Ed justice,Ed justice,Equity & SEL,Ed justice,Stronger,
physical well being services,,"The learning environment offers (or partners to offer) comprehensive services to support the physical health and well-being of students, e.g. supports related to nutrition, housing, abuse, bullying.",Ed justice,Ed justice,Equity & SEL,Ed justice,Stronger,
restorative practices,,"Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities in ways that are intentionally restorative, developmentally appropriate, and equitably applied. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.)",Ed justice,Ed justice,Equity & SEL,Ed justice,Stronger,
SEL integration school-wide,,The learning environment integrates social and emotional learning throughout the academic curriculum and other activities (in contrast to a stand-alone SEL curriculum).,Ed justice,Ed justice,Equity & SEL,Ed justice,Stronger,
social justice focus,,"The learning environment uses a social justice lens to design curriculum, instruction, policies, and community engagement. This could include work to understand and address large, complex social issues such as poverty, food insecurity, racism, and environmental justice.",Ed justice,Ed justice,N/A,Ed justice,Stronger,
teachers as co-leaders,,"The learning environment involves teachers in shared decision-making, and communicates how teacher input has informed decision-making. Teachers make decisions in areas such as learning environment success, curriculum, budget, evaluating their colleagues, selecting personnel, and more.",Ed justice,Ed justice,N/A,Ed justice,Stronger,
trauma-informed practices,,"Adults are trained to recognize and respond to those who have been impacted by traumatic stress, and students are provided with clear expectations and communication strategies to guide them through stressful situations.",Ed justice,Ed justice,N/A,Ed justice,Stronger,
adult wellness/SEL,,"Staff have regular opportunities to cultivate their own social, emotional, and cultural competence, collaborate with one another, build trusting relationships, and maintain a strong community.",Ed justice,N/A,N/A,Ed justice,Weaker,
all courses designed for inclusion,,"Students who typically receive pull-out services or instruction in segregated classrooms (e.g., students classified as English Learners, students with disablities) are integrated with appropriate supports in place to support learning, language ability, and full participation in curriculum.",Ed justice,N/A,N/A,Ed justice,Weaker,
co-leadership,,"The learning environment involves stakeholders in the process of decision-making and communicates how the input gathered from stakeholders informs decision-making. This may include teachers, students, families, community-based organizations, industry-based partners, or others.",Ed justice,N/A,N/A,Ed justice,Weaker,
