"nominator","year","school_id","official_school_name","website","nominator_reason"
"Anonymous",2019,1,"A2 Virtual + Academy","","The level of personalization in the online environment."
"Anonymous",2019,3,"The Academy of Advanced Learning","","A tremendous bright spot with exceptional academic growth!  Vision: The vision of the AAL is founded on the notion that a Year 2025 workplace requires new skills and the ability to think critically. AAL prepares students for college and the modern workplace via personalized learning, allowing students to learn at a pace and modality that best fits his learning style and capitalizes on his strengths. AAL's instructional model integrates the following components: 1. LSAE Model. In this model, teachers deliver a lesson to all students for the first 20-30 minutes of class. They then sort students into four groups (Learning, Securing, Accelerating, Enriching) based on their demonstrated mastery of the skill. Depending on their needs, students receive small-group instruction or auxiliary lessons to extend or accelerate their learning, either via online learning or with a learning coach. 2. Student Learning Profiles and Plans. At the beginning of the school year, the school works with students and parents to develop a student learning profile, a document that includes students' past achievement data, strengths, areas for growth, and interests. Teachers are tasked with using the student learning profiles to develop student learning plans, customized strategies that are used to inform instruction of the student within the LSAE model. 3. Habits of Success and Learning How to Learn. The school has developed a set of """"Habits of Success"""" that they hope to instill in students, including """"be at school and on time,"""" """"strive for accuracy,"""" """"respect for others,"""" """"perseverance,"""" etc. The school is also using a self-assessment rubric once a week to help students learn how to learn, measuring learning skills such as """"I choose the right learning environment,"""" """"I am resourceful in finding assistance."""""
"Anonymous",2019,4,"Albemarle Road Elementary School","http://schools.cms.k12.nc.us/albemarleroadES","Albemarle Road Elementary, in the large, urban Charlotte-Mecklenburg district, uses the Opportunity Culture model. The school """"exceeds growth"""" under the state definition. An Opportunity Culture school extends the reach of excellent teachers and their teams to more students, for more pay, within the school's recurring budget. Multi-Classroom Leadership is the foundation of an Opportunity Culture; multi-classroom leaders (MCLs) lead a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The schools redesign schedules to provide additional school-day time for teacher planning, coaching and collaboration. MCLs typically lead the introduction of more effective curricula, instructional methods, classroom management and schoolwide culture-building. Accountable for the results of all students in the team, multi-classroom leaders earn substantial pay supplements, within the regular school budget. The school design teams reallocate school budgets to fund pay supplements permanently, in contrast to temporarily grant-funded programs."
"EL Education",2019,6,"Amana Academy","","STEM, project-based learning, SEL embedded in academics, culturally-relevant pedagogy, student-engaged assessment (student-led conferences, portfolios, etc)"
"Utah State Board of Education",2019,7,"American Academy of Innovation","http://www.aaiutah.org","American Academy of Innovation (AAI) is building the following Competency-Based Education Program (CBE) as both a continuation and a substantial improvement of our existing program. Our current education program centers on both experiential learning (EL) and project-based learning (PBL). Our EL programming boasts an enduring partnership with Southern Utah University, the administrative organization for experiential teaching on the West Coast. Our PBL programming reflects the Buck Institute's comprehensive PBL philosophy and approach. In addition to these partnerships, AAI recently solidified a 4-year extended partnership with CHOICE Humanitarian. This partnership will allow our students to work directly with in-country, local leadership to solve real-world problems for poor countries."
"ReSchool",2019,8,"Anastasis Academy","","micro school, learning genome cards to personalize learning, independent school so freedom to do things not possible in public schools, great leader"
"Michigan Department of Education",2019,9,"Armada High School","http://www.armadaschools.org","They are now looking at the big picture and have switched from teacher-centered to student-centered. The school now includes 21st Century skills, and students are required to take a two-year career sequence. The school now also offers Career Technology Education (CTE) courses. The school has discussions about what students can and can't do with specificity, rather than just looking at test results."
"Anonymous",2019,11,"Aspen Academy","","Strong entrepreneurship focus for kids K-8. Kids need to have owned and operated a business before graduation. High focus on financial literacy. Founder is an entrepreneur. Shows what's possible in education."
"Education Evolving",2019,15,"Avalon School","http://www.avalonschool.org","Although Avalon's student body is not racially diverse, the schools attracts many students who were looking for a school environment that supports their well-being (100% of parents and 97% of students say Avalon is a safe and a positive learning environment, and many students are from the LGBT community). They also serve a high needs population, with 36% of Avalon students identified as special education.  Avalon uses a teacher cooperative model. Their teacher team has autonomy in all 15 potential areas and their board has a teacher majority.   The Avalon teacher team chooses to use a self-directed project-based learning program and 360-degree teacher evaluation. They have have very low teacher turnover rates (5.3%). They also take seriously the notion of educating the whole child, and along with traditional assessments use the Hope Survey to assess students' non-academic outcomes, such as self-efficacy, optimism, and problem-solving ability, so the teacher team can evaluate what areas of school design the team needs to adjust in order to better help its students improve these outcomes.  The teacher team believes it is important to model collaborative leadership to their students and therefore decided to make the student body a voting branch of the school government, with students passing bills (for example, on acceptable cell phone and school attendance policies). Teachers secure autonomy via: charter school contract and school bylaws."
"EdVisions",2019,15,"Avalon School","http://www.avalonschool.org","Very innovative personalized approach to learning.  No set courses, entirely project-based and experiential. Teacher-run. Student safety is priority. Social justice focus."
