"nominator","school_id","year","nominator_reason_n"
"Anonymous",1,2019,"The level of personalization in the online environment."
"Anonymous",2,2019,NA
"NewSchools Venture Fund",3,2023,"A team of dedicated teachers and leaders, working in a high performance and caring culture, maintains an intense focus on academic achievement and performance outcomes. Students find success and are engaged through personalized learning, which allows students to work at their own pace and learn in a way more suited to their strengths. We hold high expectations for students and staff and believe everyone can create their future."
"Anonymous",4,2019,"Albemarle Road Elementary, in the large, urban Charlotte-Mecklenburg district, uses the Opportunity Culture model. The school """"exceeds growth"""" under the state definition. An Opportunity Culture school extends the reach of excellent teachers and their teams to more students, for more pay, within the school's recurring budget. Multi-Classroom Leadership is the foundation of an Opportunity Culture; multi-classroom leaders (MCLs) lead a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The schools redesign schedules to provide additional school-day time for teacher planning, coaching and collaboration. MCLs typically lead the introduction of more effective curricula, instructional methods, classroom management and schoolwide culture-building. Accountable for the results of all students in the team, multi-classroom leaders earn substantial pay supplements, within the regular school budget. The school design teams reallocate school budgets to fund pay supplements permanently, in contrast to temporarily grant-funded programs."
"EdTech Specialists, LLC",5,2019,"The Career Tech Education Center in Alpena is working with its community and businesses to create opportunities for their community that are changing the focus of the community as they grow and build new options for the work place and employment.  Alpena is a remote community, off the beaten path.  Their CTE program is ramping up meaningful ways for individuals and business to grow as they attract additional ways to generate revenue.  The CTE program is developing the work force for many of these opportunities.  As a recent recipient of several grants, including one for the states Marshall Plan, Alpena's CTE is providing high tech environments that will put Alpena on the map!"
"EL Education",6,2019,"STEM, project-based learning, SEL embedded in academics, culturally-relevant pedagogy, student-engaged assessment (student-led conferences, portfolios, etc)"
"Mastery Transcript Consortium",7,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"ReSchool",8,2019,"micro school, learning genome cards to personalize learning, independent school so freedom to do things not possible in public schools, great leader"
"Michigan Department of Education",9,2019,"They are now looking at the big picture and have switched from teacher-centered to student-centered. The school now includes 21st Century skills, and students are required to take a two-year career sequence. The school now also offers Career Technology Education (CTE) courses. The school has discussions about what students can and can't do with specificity, rather than just looking at test results."
"Highlander Institute",10,2019,"Asa Messer is moving the needle in terms of supporting teachers as they implement a blended and personalized model in their classrooms. Each teacher is supported within one or two coaching cycles throughout the year. Support is offered through either an internal literacy/math coach or an external support partner, such as the Highlander Institute. These cycles of support are anchored in student data analysis, building plans for grade level teams or individual teachers as they address students varying needs. Another area of focus is the exploration of best practices and strategies to implement. A continuous improvement plan is utilized to help teachers, coaches and administrators analyze if the implemented practice is effectively working. Throughout the community, there is a culture that consistently supports all learners, both students, and adults, at whatever entry point. "
