school_id,nominator_id,conf_status,school_name,school_city,school_state,school_district,school_within_school,nominator,nominator_reason,school_purpose,school_model,stage_n,implementation_years,blended_learning,competency_education,equity,experiential,staffing_infrastructure,learner_agency,maker,pbl,redefining_success,sel,udl,wraparound,station_rotation,flipped_classroom,lab_rotation,individual_rotation,flex,a_la_carte,enriched_virtual,opportunities_mastery,advancement_mastery,performance_assessment,grading_mastery,assessment_schedule,competency_framework,equity_plan,reallocation_resources,design_margins,restorative_practice,culturally_relevant,rigorous_coursework,elimination_tracking,graduation_supports,poverty_supports,immigrants_supports,ell_supports,flexible_staffing,flexible_facilities,flexible_schedule,real_time_data,quality_materials,oer,multi_age,devices_home,integrated_data,student_goals,student_pace,learning_paths,learner_profiles,student_conferences,student_data,projects_primary,student_projects,interdisciplinary,real_world,exhibitions,portfolios,career_prep,outside_credit,service_learning,local_focus,local_global,design_thinking,community_partnerships,makerspace,measures_college,measures_career,measures_deeper,measures_purpose,measures_sel,measures_climate,sel_plan,sel_curriculum,sel_integrated,circles,advisories,hiring_practices,relevant_learning,information_formats,ways_mastery,accommodations,data_instruction,adaptive_content,mentoring,mental_health,physical_health,community_support,open_hours,t1_confirmed_s,t2_confirmed_s,tag_evaluation_n,why_tag_evaluation_n,suggested_tags_n,tag_evaluation_s,why_tag_evaluation_s,nces_id,state_id,website,school_type,charter,magnet,no_grades,pk_grade,kg_grade,1_grade,2_grade,3_grade,4_grade,5_grade,6_grade,7_grade,8_grade,9_grade,10_grade,11_grade,12_grade,13_grade,ug_grade,ae_grade,low_grade,high_grade,level,CCD_student_count,native_count,native_percent,asian_count,asian_percent,hispanic_count,hispanic_percent,black_count,black_percent,white_count,white_percent,multiple_races_count,multiple_races_percent,hawaiian_native_count,hawaiian_native_percent,total_race_count,lunch_program,locale,locale_original,FRPL_count,FRPL_percent,direct_certification_count,direct_certification_percent,title_i_status,CRDC Total Enrollment,IDEA_percent,LEP_percent
2,103,Nominated,Academies of Hampton,Hampton,Virginia,Hampton City Public Schools,Yes,Anonymous,The Academies of Hampton offer work and life ready experiences for students in Hampton City Public Schools.  Their community engagement and support is second to none!,,,Early stage (0-3 years),,,1,1,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,Operationalizing the Profile of a Virginia Graduate through their work,,,510180002973,VA-112-1121100,,Career and Technical School,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,N,Not applicable,,,,,,,,,,,,,,,,,No,Urban,"City, Midsize",,,,,Not a Title I school,,,
5,111,Nominated,Alpena Career Tech Education Center,Alpena,Michigan,Alpena Public Schools,No,"EdTech Specialists, LLC","The Career Tech Education Center in Alpena is working with its community and businesses to create opportunities for their community that are changing the focus of the community as they grow and build new options for the work place and employment.  Alpena is a remote community, off the beaten path.  Their CTE program is ramping up meaningful ways for individuals and business to grow as they attract additional ways to generate revenue.  The CTE program is developing the work force for many of these opportunities.  As a recent recipient of several grants, including one for the states Marshall Plan, Alpena's CTE is providing high tech environments that will put Alpena on the map!",,,Mature and going strong (more than 3 years),,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,260273003984,MI-04010-00075,http://www.alpenaschools.com,Regular School,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,1323,11,0.83%,12,0.91%,16,1.21%,12,0.91%,1252,94.63%,20,1.51%,0,0.00%,1323,Yes participating without using any Provision or the CEO,Rural,"Town, Remote",574,43.4%,,,Not a Title I school,1313,13.2,0.2
10,62,Nominated,Asa Messer Elementary School,Providence,Rhode Island,Providence Public Schools,Not sure,Highlander Institute,"Asa Messer is moving the needle in terms of supporting teachers as they implement a blended and personalized model in their classrooms. Each teacher is supported within one or two coaching cycles throughout the year. Support is offered through either an internal literacy/math coach or an external support partner, such as the Highlander Institute. These cycles of support are anchored in student data analysis, building plans for grade level teams or individual teachers as they address students varying needs. Another area of focus is the exploration of best practices and strategies to implement. A continuous improvement plan is utilized to help teachers, coaches and administrators analyze if the implemented practice is effectively working. Throughout the community, there is a culture that consistently supports all learners, both students, and adults, at whatever entry point. ",,,Mature and going strong (more than 3 years),,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,internal coaching cycle supports,,,440090000213,RI-28-28115,,Regular School,No,Not applicable,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,PK,4,Elementary,534,2,0.37%,52,9.74%,346,64.79%,68,12.73%,56,10.49%,10,1.87%,0,0.00%,534,Yes under Community Eligibility Option (CEO),Urban,"City, Midsize",496,92.9%,,,Title I schoolwide school,578,15.4,38.6
12,65,Nominated,Aspire Richmond Tech,Oakland,California,Aspire Public Schools,No,Anonymous,Focus on blended learning; part of high-quality charter network with proven results,,,Early stage (0-3 years),,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,063255013891,CA-0761796-0132118,http://www.aspirepublicschools.org,Regular School,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,5,Elementary,286,–,,19,6.64%,217,75.87%,27,9.44%,4,1.40%,19,6.64%,–,,286,No,Suburban,"Suburban, Large",236,82.5%,,,Title I schoolwide school,,,
13,65,Nominated,Atlanta Speech School,Atlanta,Georgia,none provided,No,Anonymous,Deep understanding of the science of learning drives practice; focus on relationships; excellent use of data to understanding each child's precise learning strengths and needs; eye towards exporting its learning for broader impact,,,Mature and going strong (more than 3 years),,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,Individualized pathways,,,298853,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,128,Nominated,Austin Road Elementary School,Stockbridge,Georgia,Henry County Schools,No,Building Blocks Education,"This school, in a very short period of time, has gone from providing traditional, teacher-centered instruction to empowering students to exercise agency in almost every aspect of their learning.  Students in every classroom (1) analyze their formative assessment data to determine what to work on, (2) set short-term goals to prioritize their work, (3) choose the resources and activities they use for learning, and (4) use formative assessments to determine when they're ready to move forward.  What stands out about this school's model is that students don't just make a few arbitrary choices, but exercise real agency in all of the meaningful aspects of their learning from start to finish.  Teachers have truly shifted their roles from telling students what to learn and how to learn it, to helping students drive their own learning.  Finally, the school has made rapid progress in implementing their model by setting consistent expectations for all teachers and providing school-wide professional development.  I'm excited to nominate this school because they show it's possible to transform instruction across an entire school in a short period of time.",,,Early stage (0-3 years),,1,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"personalized learning, student-driven learning",,,130282000378,GA-675-0294,http://www.henry.k12.ga.us/are/,Regular School,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,5,Elementary,402,1,0.25%,7,1.74%,35,8.71%,264,65.67%,78,19.40%,17,4.23%,0,0.00%,402,Yes participating without using any Provision or the CEO,Rural,"Rural, Fringe",278,69.2%,154,38.3%,Title I schoolwide school,406,10.1,2.5
17,104,Nominated,Aveson,Altadena,California,Aveson Charter Schools,No,Anonymous,"Aveson Global Leadership Academy provides middle and high school students with the academic and leadership skills necessary to be leaders in the global community. Students graduate from AGLA having built a resume of academic success, social entrepreneurial experiences, and healthy living practices. These achievements are accomplished through a highly supportive advisory system within a democratic learning community. At AGLA, every student is empowered to be an active participant in their education through Aveson's Personalized Mastery Learning model. In Personalized Mastery Learning, teachers take on the role of Academic Advisors. Advisors, in conjunction with students, collaboratively design learning experiences in order to support students in achieving their goals.  Through Personalized Mastery Learning, students help dictate what and how learning happens. Additionally, students help determine when they are ready to demonstrate evidence of learning. Advisors are given the professional autonomy to personalize learning in order to optimize learning for every student.",,,Mature and going strong (more than 3 years),,1,1,1,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,062994012028,CA-1964881-0113464,http://www.aveson.org,Regular School,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6,12,"Middle, High",464,7,1.51%,22,4.74%,163,35.13%,49,10.56%,209,45.04%,9,1.94%,5,1.08%,464,No,Suburban,"Suburban, Large",115,24.8%,,,Title I targeted assistance school,410,0.0,3.2
18,137,Nominated,Barbara Morgan STEM Academy,Meridian,Idaho,West Ada School District,No,Educurious,This is a fully development STEM Project-Based Learning school.  Students drive their own questions and work on complex engineering designs.  They are a 1-1 school using technology in robust and effective ways.,,,Mature and going strong (more than 3 years),,,,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Collaborative culture,,,160210000639,ID-002-0339,,Regular School,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,5,Elementary,447,3,0.67%,6,1.34%,81,18.12%,4,0.89%,336,75.17%,16,3.58%,1,0.22%,447,No,Suburban,"Suburban, Large",160,35.8%,,,Title I targeted assistance eligible school-No program,446,5.2,10.3
20,111,Nominated,Bedford Homeschool Partnership,Richland,Michigan,Gull Lake Community Schools,No,"EdTech Specialists, LLC",The Homeschool Partnership is leading the way the entire district addresses personalization.  Their attention to engaging the community in education their students while providing individual attention to students and their families is a model that is changing education in the Gull Lake Community Schools and across the state of Michigan.  It has led the district to developing a self-directed learning model that will go district wide.,,,Mature and going strong (more than 3 years),,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,111,Nominated,Berrien Springs Virtual School,Berrien Springs,Michigan,Berrien Springs Public Schools,No,"EdTech Specialists, LLC","Berrien Springs established its virtual school over 10 years ago.  Over the 10 years, they have reached out statewide to provide infrastructures that meet the needs of students who otherwise would not have the opportunities for alternative ways to learn.  Their philosophy is to build programs around the student rather than the other way around.  Their attention to the social emotional needs of students is evident in the priority they have made to have social workers on staff for student needs.  ",,,Mature and going strong (more than 3 years),,1,1,1,1,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,260543008175,MI-11240-00567,http://www.homeoftheshamrocks.org,Regular School,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,"Elementary, Middle, High",53,0,0.00%,1,1.89%,8,15.09%,4,7.55%,36,67.92%,4,7.55%,0,0.00%,53,Yes participating without using any Provision or the CEO,Rural,"Town, Fringe",11,20.8%,,,Not a Title I school,507,0.0,1.4
