nominator,school_id,school_name_n,school_city_n,school_state_n,school_district_n,school_within_school_n,school_structure_n,nominator_reason,strong_covid19_approach,why_covid19_approach,know_school,suggested_tags_n,nomination_date,expanded_success,pbl,competency_education,design_equity,anti_racist_action,sel,blended_learning,school_participated,NCES_id
Moonshot EdVentures,11,Aspen Academy,Greenwood Village,COLORADO,Private School,No,,Entrepreneurial curriculum; students have to have owned and operated a business before graduating in 8th grade; spends time on financial literacy,Not sure,,Kristina is a colleague; Moonshot Fellows visit her school,Entrepreneurship focus,September 2020,1,1,0,0,0,0,0,1,A0700350
Springpoint Schools,17,Aveson Global Leadership Academy,Altadena,California,Aveson Charter Schools,No,,"Aveson Global Leadership Academy is a tuition-free charter school that employs a very thorough mastery approach, while focusing on personalization and projects. Serving students in grades 6 through 12, the school embodies the core principles of rigor, relevance, and relationships.Â   Students graduate from AGLA having built a resume of academic success, social entrepreneurial experiences, and healthy living practices. These achievements are accomplished through a Mastery Learning Portfolio (MLP) complemented by a highly supportive advisory system within a democratic learning community. AGLA has iterated on their model and deeplyÂ values student voice, offering explicit opportunities for student agency. Student led-conferences are one manifestation of this. Adults not only support students to prepare, but link the school's communications competencies to student-led conferences. At AGLA, educators understand the deep relationshipÂ between mastery and student agency.  The school has been doingÂ competency-based learning for many years and has a mature set of competencies. AGLA develops a personalized learning plan for each student, and they utilize teachers (called Academic Advisors) and paraprofessionals (called Project Managers) in unique ways. Adults track data on every student, including student progress, as well as interestÂ areas and supports theyÂ have received.outcome tracker.Â As well, there are regular celebrations when students reach key milestones, including formative and summative celebrations of learning and anÂ interdisciplinaryÂ capstone project.Â They focus on mastery, use of rubrics, student agency, and peer-to-peer assessment.",Not sure,,Featured in our Schools to Visit Guide,Personalized learning,November 2020,0,1,1,0,0,1,1,0,060218112028
Great Schools Partnership,22,Blackstone Academy Charter School,Pawtucket,Rhode Island,Blackstone Academy Charter,No,,The school is based on the Common Principles from the Coalition of Essential Schools and works purposely to build student agency and understanding within a very student-centered and supportive culture.  They have very strong practices of reaching out to involve families as honest and equal partners in their work.,Not sure,,We support their efforts through coaching,,November 2020,0,0,0,1,1,1,0,0,440003600246
Education Evolving,24,Boston Day and Evening Academy,Roxbury,MASSACHUSETTS,Boston Day and Evening Academy Charter,No,,"Mission and Vision: Boston Day and Evening Academy re-engages off-track students in their education preparing them for high school graduation, post-secondary success and meaningful participation in their community. Boston Day and Evening Academy will continue to be an innovative leader in student-centered education for off-track learners. Highlights: Competency Based Education-  The primary--and the crucial difference between a competency-based system of teaching and assessment and a traditional model, is that students begin a learning pathway (traditionally referred to as middle school or high school) based on assessed skill level in each content area, and not on arbitrary placement in grades (based on age). Each content area (i.e. Humanities, Math, Science, Technology) is divided into modules, which correspond to an academic semester, quarter, or trimester (see ROADMAP). After being assessed for their knowledge in each content area, students are placed into the module which puts them at their ""learning edge"" i.e. challenging, but not overwhelming. Students progress from module to module in each content area, based on their ability to demonstrate mastery in each area, independently and multiple times. Once they meet the assigned benchmarks in each module, they become ""competent"", and move on to the next module. If they finish a trimester without demonstrating competency in an area, they repeat that module--and that module only--while moving ahead in other content areas. Innovative Teaching Practices In addition to using competency-based teaching and assessment practices to drive the curriculum and inform the learning that takes place at BDEA, faculty are constantly embracing new forms of teaching that address the student-centered nature of their work. Blended Learning- We are thoughtful about how we are using technology to enhance learning, and hear from students that they need a balance of technology and personalized, teacher-led instruction.  Our approach has been to create a blended learning model that combines a variety of options including online courses, as well as technology-supported classes enhanced by the use of iPads, Smartboards and computers.  We have a Personalized Online Learning Lab (POLL) where students can catch up on classroom work or accelerate their progress through classes. But the bottom line is always having teachers available for support, direction, and conversation. Experiential Learning- For over a decade, BDEA has included Project Month as a way of turning all classes ""experiential"", and giving students--and teachers--an opportunity to collaborate on projects that become an enduring part of the whole-school community.  One year, one of the projects turned an abandoned community clubhouse into a solar powered, hydroponic greenhouse. Another year, students engaged with the ""Occupy Boston"" movement and recreated the experience of tent living, media coverage, and the genesis of the Arab Spring in a series of connecting classrooms at the school.   Active Learning- Active Learning takes many forms, from the expected inclusion of physical fitness into the everyday experience of our staff and students, to the authentic learning experience that results from theatrical movement classes taught by valued partners Actors' Shakespeare Project.   Our partners at Project Adventure helped us to understand and incorporate important aspects of ""active"" learning into our teaching practice, coaching students to physically ""move through"" diagrams  instead of writing them on a whiteboard, and to use space rather than fill it.",Not sure,,They are in our network,"teacher-powered, student-centered",September 2020,1,1,1,1,1,1,0,1,250004901245
iLearn Collaborative,26,Cañon City High School,Cañon City,COLORADO,Cañon City Schools,No,,"An exemplar for implementation of school-wide blended learning instruction.  Started well before COVID-19 impact.  Started with defining vision and goals then backwards planning to create a needs-based approach including timelines, support and resources to reach goals.  Accomplished in 2 years, what many other schools would have taken in 5 years or more.  Has become an exemplar for blended learning in Colorado.  Leadership was a key factor.",Yes,1:1 initiative was already in place and completed followed/coupled with strong professional development program. All teachers trained including leaders. Early approach created an environment of confidence in their transition to full-time online learning in spring of 2020. They had all essential components of blended learning resources and training covered before the transition plus full district support.,"We worked with them under Colorado Empowered Learning state program with extended work beyond the basics covered under the program. We partnered with them since the beginning of the 1:1 initiative and provided consulting support, professional development, and OER courses from our repository.","Innovative, leadership, climate & culture, leading by example, vision, defined outcomes/goals",September 2020,0,0,0,0,0,1,1,0,080279000172
Colorado Education Initiative,26,Cañon City High School,Cañon City,COLORADO,Cañon City Schools Fremont Re-1,No,,"Cañon City High School (CCHS) has a focus on equity, social emotional learning, and building student advocacy skills. Their Tiger Pathways program helps students navigate career pathways while also developing rigorous academic skills. Every student creates a capstone project with a driving question for their SELF Expo, where the community at large is welcomed into the building to share student success fostering a sense of belongingness and community (the SELF Exhibition is an annual event that showcases the knowledge and research projects of Cañon City High School students. SELF stand for Student, Empowered, Learning, Framework. This is at the core for CCH's goal to focus curriculum learning on a student's personal interests and life goals).   The community is also leveraged in a comprehensive student internship system; the goal is for every student to have an internship in the community related to their capstone project. The district's vision is â€œMaslow's Over Bloomâ€ and the orientation of CCHS is toward providing support to students. During the 4-year capstone process, students have both a mentor and an advisor. In addition, CCHS uses a universal screening tool to assess the emotional needs of all students and has a well established team to respond to the needs that arise",Yes,"The principal of CCHS is very engaged with the district leadership team; the district has made decisions to aggressively acquire Chromebooks for all students, use school buses to deliver meals throughout the community, provide food backpacks for students to take home on weekends, purchased internet hot spots as well as purchase monthly internet access plans for a large number of families, to assess the emotional health of families by administering the universal screener BIMAS2 to any family member who voluntarily chooses to complete the screening tool and then connecting those individuals to services in the community. These are not decisions that the high school has made alone but HS leadership is particularly involved with the district team.","CEI has partnered with CCHS through multiple projects over the past six years, including focus on high school redesign through support for leveraging Advanced Placement to increase college readiness and access for underrepresented students, integrating social emotional learning as part of academic development, implementing capstones aligned to the district’s graduate profile and graduation guidelines policy, and rethinking learning environments through innovative work-based learning opportunities and partnerships.",Maslow’s Hierarchy of Needs Over Bloom’s Taxonomy,September 2020,1,1,1,1,0,1,1,0,080279000172
Great Schools Partnership,27,Casco Bay High School,Portland,Maine,Portland Public Schools,No,,"Casco Bay has tied together project-based learning using an EL model with proficiency-based learning in an environment that is extremely student centered. Students are known as individuals and while there are common learning expectations for all students, teachers work to build upon each student's skills and capacities. Students learn agency along with deep content and skills",Not sure,,Through our support for the school and as a parent with a graduate from the school,,November 2020,0,1,1,0,0,1,0,1,230993000603
Next Generation Learning Challenges,27,Casco Bay High School,Portland,Maine,Portland Public Schools,No,,"Casco Bay is a wonderful example of a school creating its own successful version of a very successful national school and learning template -- the EL Schools model. It is a district school, not a charter, in the Portland public schools and so is subject to all of the same regulations, policies, and contracts that all regular public schools are subject to. And yet the experience its students have at Casco Bay is very different than the ""normal"" experience most kids have in schools these days. Casco Bay, like all EL schools, is very deeply experiential and project-based -- most learning is connected to some form of authentic purpose. It has done exceptional work in thinking about and designing ways to gauge student growth across a number of dimensions not normally on the radar in public schools. It is doing all of this work with a student body that -- while it has opted into the school -- reflects much of the diversity, complexity, and challenges  that many public schools must address right now. We have brought teams of educators to Casco Bay many times over the past five years and these educators routinely leave feeling inspired and with a whole new view of what schools can be. A video of Casco Bay's community grappling, in typically student-led ways, with a racist incident was featured in our recent virtual film festival, This Is Our Chance. See ""Walking in Solidarity"" on this page of the festival site: https://our-chance.com/week-1/.",Not sure,,We have brought educators there for learning tours for several years.,Experiential,November 2020,1,1,1,1,1,1,1,1,230993000603
The Learning Accelerator,47,Concourse Village Elementary School,Bronx,New York,New York City Geographic Region #7,Yes,,The school does a lot with culture. SEL is intertwined in their DNA,Yes,Made a schedule so classes were not mixed with remote and in person students. Used lunch time for SEL programming,Collaborated via Parabola Project,,November 2020,0,0,0,1,0,1,0,1,360008406382
National Center for Special Education in Charter Schools,58,Digital Pioneers Academy,Washington,District of Columbia,Digital Pioneers Academy,No,,"Innovative school holding all students to standards of excellence, both academically and personally.",Not sure,,From our work with them. Their leader also serves on our Board.,,November 2020,1,0,0,1,0,1,0,0,110010900521
