nominator,school_id,school_name_n,school_city_n,school_state_n,school_district_n,nominator_reason
A for Arizona,551,Tanque Verde High School,Tucson,Arizona,Tanque Verde Unified School District,"Tanque Verde High was a performing school going into the pandemic, but the school leadership team, Superintendent, and governing board wanted to take advantage of the moment to evolve the outdated high school model and return relevance and preparedness to a diverse set of Pima County students. This is the first university honors college/CTE blended high school in Southern Arizona with a focus on high-demand, high-wage career academies within the high school model. Their top tier Business Advisory Council is active to ensure students are prepared for rigorous pathways after high school within Southern Arizona. TV High also launched a small honors college high school within a school in collaboration with the University of Arizona Honors College. This model does not have testing restrictions and is focused on helping students with learning gaps not usually targeted for advanced coursework. They have pulled in community partners with great intentionality, including the University of Arizona, IBM, Tucson Metro Chamber of Commerce, Center for the Future of Arizona, and others. With this push to modernize their model, hundreds of families in the greater Tucson area have rushed to enroll and they've continued to expand capacity to serve more kids in the moment."
A for Arizona,550,Gowan Science Academy,Yuma,Arizona,Crane Elementary School District,"Gowan Science Academy is a challenging inquiry-based STEM model developing learners to thrive in a global community. Their leadership deeply believes learning can occur anywhere and has worked to ensure every space inspires learning and exploration. Their hallways, for example, have rows of bookshelves for learners to love reading whenever they are engaged with it. They took over the empty corner spaces to develop Cozy Corners for students to have spaces to recenter and improve son social-emotional learning. Outside they have the first outdoor learning hub in the region in collaboration with the Yuma Parks & Recreation Department. A long-time school of excellence, they continue to rethink space, place, and opportunities for learning. A model proof point for innovation in a rural border community."
A for Arizona,549,Phoenix Modern,Phoenix,Arizona,New Learning Ventures,"Phoenix Modern exists for children to explore, create, and prepare for a life of possibility. It is flexible and student-driven model with lots of creative adaptable spaces for exploration, enrichment, project time, and collaboration. Gone are the days of traditional hallways! They operate as a true community of learners with a core value of wonder and creative physical spaces for playful inquiry. They have a nonlinear learning continuum and guide students to embrace deep practice and productive struggle. Phoenix Modern has strong partnerships with community-based organizations to bring learning to life and students outside the traditional classroom to explore and engage with their community."
A for Arizona,559,Holladay Fine Arts Magnet,Tucson,Arizona,,"Holiday Fine Arts Magnet is reimagining where, when and how learning takes place by partnering with local churches and faith leaders in the community to address reading deficits with their learners. The majority of Holladay's Latino and African American youth attend church or places of worship so collaborative partnerships with churches and faith leaders gives families direct access to safe and support learning environments and relationships that children and families of color trust. This innovative collaboration creates new reading hubs in partnership with local church and faith leaders to better collectively tackle reading deficits through one-on-one and small group tutoring and reading intervention experiences ensuring learning happens both at school and at partner local churches and places of worship. Holladay's approach honors parents as ""first"" teachers, brings in the community, and creates wrap-around services and support for learners with the greatest academic needs as a result of COVID-19. This collaboration will create a collective circle of support focused on facilitating a shared commitment to academic success, bringing together school staff, families, learners, and faith communities as partners. The Holiday team has unskilled church volunteers on best reading approaches and how to monitor students' growth. Phase One includes reading hubs at five local churches with the intent of expanding to 15 other churches and places of worship of diverse denominations who have shown interest in participating, recognizing learners are all better if we work together. Holiday aims to facilitate a shared and inclusive commitment to academic success among learners, families, and local faith leaders."
A Revolution in Education,598,The Exploris School (Middle School),Raleigh,North Carolina,N/A,"Focused on authentic, real-world projects.  Many of them in the community."
A+ Schools,593,Nazareth Prep,Pittsburgh,Pennsylvania,,"Nazareth Prep skillfully blends personalization and knowledge building to support children from the City of Pittsburgh and its suburbs to succeed in the college or career pathway of their choosing. With a unique weekly internship program that begins in a student's 9th grade year, scholars are equipped with tools from the fields of engineering and user-centered design to be able to help community organizations, government agencies, and businesses to solve problems. 

Additionally, each student receives academic and emotional advisory support that helps them set goals and reach their full potential. "
Bluum,523,Elevate Academies,Caldwell,Idaho,"Elevate Academy, Inc.",Elevate Academy schools are impacting at-risk youth through an innovative Career Tech Education model that is deeply integrated with the local business community.
Center for Black Educator Development,528,KIPP Philadelphia Preparatory Academy (Middle school 5-8),Philadelphia,Pennsylvania,KIPP Philadelphia Public Schools,"Isaiah and his team have taken a ""team and family"" approach to turning around one of the lowest performing schools in the city, and have transformed it into a high performing and affirming space. They also have upwards of 20 black men in a variety of leadership and instructional capacities through out the building which is an anomaly in and of itself. Their students are 30+% with IEPs, yet still do exceptionally well with testing and academic rigor. They are a north star example of what urban charter/public education can AND should look like."
Center for the Future of Arizona,600,Coatimundi Middle School,Rio Rico,Arizona,Santa Cruz Valley Unified School District,"Coatimundi Middle School reimagines what it means to be a learner through innovative use of technology, space, curriculum, instruction, and time in order to personalize the experience of its students and move towards a fully learner-centered community."
Center on Reinventing Public Education,428,City High,Pittsburgh,Pennsylvania,City Charter High School District,The school is designed to prioritize strong student-adult relationships and interdisciplinary collaboration. Grade-level teacher teams loop with students through all four years of high school.
