nominator,school_id,school_name,school_city_n,school_state_n,school_district_n,nominator_reason_n
NewSchools Venture Fund,686,A School Without Walls,New York,New York,New York City Department of Education,"A School Without Walls is a new Hybrid High School that centers joy and the lives of young people through individual passion projects, real world learning, and community facing action.  As educators, we believe in the power of young people to transform communities if given the opportunity to pursue their interests and passions as the core curriculum during their high school experience.  
"
NewSchools Venture Fund,735,Acceleration Day and Evening Academy,Mobile,Alabama,ACCEL Day and Evening Schools,"Acceleration (ACCEL) Academy, Alabama’s first tuition-free public charter school, serves middle and high school students in grades 6-12 from Mobile, Baldwin and Washington counties. ACCEL Academy was founded by the Mobile Area Education Foundation in 2017. At ACCEL Academy, students can graduate quicker or catch up if they have fallen behind or dropped out of another institution. With a challenging college preparatory curriculum, individualized instruction and small class sizes, ACCEL Academy gives students a safe, supportive environment to ensure they graduate college and are career ready."
NewSchools Venture Fund,736,Acceleration Preparatory Academy,Mobile,Alabama,ACCEL Day and Evening Schools,Personalized learning model with strong intervention structures to close academic and SEL gaps.
Anonymous,237,ACE Leadership High School,"Albuquerque, NM",New Mexico,Albuquerque Public Schools,"Uniquely designed on three pillars (learning by doing, community/industry engagement, and 360-degree student support"
Anonymous,737,Achievers Early College Prep Charter School,Trenton,New Jersey,N/A (single site charter),"Achievers Early College Prep Charter School (AECP) is New Jersey’s first public charter school for students in grades 6-12 that provides them with the unique opportunity to take a two-year course of study in STEM fields following the 10th grade, enabling them to redefine the high school experience and graduate with skills, experiences, and content mastery that’s significant to them in the market place and the world beyond."
Mastery Transcript Consortium,545,Acton Academy Venice Beach,Venice,California,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Anonymous,759,Aggie Academy,Greensboro,North Carolina,N/A,"Aggie Academy seeks to stand out as a transformative leader in reaching students within the framework of black liberatory practices in order to disengage from the traditional educational framework. In conjunction with the university partnership, educators and students are introduced to practices that are culturally relevant to ensure high academic achievement for all students, regardless of their ethnic or cultural backgrounds. There is also a focus on a full integration of STEAM to teach students critical thinking skills that will help them problem solve and develop their executive functioning skills while also focusing on the social-emotional learning that helps students deal with the extraneous variables that impact their ability to process information in the learning environment."
Transcend,772,AIM Academy,Conshohocken,Pennsylvania,,AIM Academy is a Research-to-Practice School that is continually pioneering the technology and techniques proven to benefit children with language-based learning differences.
NewSchools Venture Fund,688,Alabama Aerospace and Aviation High School,Birmingham,Alabama,N/A (single site charter),"At AAHS, we’re creating the aviation and aerospace leaders of tomorrow. Through our rigorous, immersive and industry-aligned instruction, we’re giving our students the skills, curiosity and inspiration to pursue real-life careers that will challenge and reward them professionally and personally."
NewSchools Venture Fund,689,Alma Fuerte Public School,Pasadena,California,N/A (single site charter),"Alma Fuerte's goal is to bring out the entrepreneur in each child by developing their critical thinking skills, leadership ability, and fostering their unique creativity. We are a small, tight-knit and diverse community located in Pasadena, CA"
NewSchools Venture Fund,690,Altura Preparatory School,Albuquerque,New Mexico,N/A (single site charter),"Altura Prep uses a teacher specialization model in which teachers focus on 1-2 core subject areas, Math, ELA, STEAM, and students rotate classrooms through out the day. In class, small group/individualized instruction supersedes whole group instruction for the majority of the class period. ALL students have STEAM class (Science, Technology, Engineering, Arts, and Math) as part of their regular core schedule."
Transcend,777,Anderson Institute of Technology,Anderson,South Carolina,"Anderson school districts 3, 4, and 5","Anderson Institute of Technology offers high school students from across three districts the opportunity to engage in a PK-20 educational pathway with dual credit opportunities and industry certifications that prepare every student to enter the workforce and be successful after high school graduation. The school offers 20 different programs in areas such as aerospace technology, machine technology, agricultural sciences and biosystems technology, and computer networking and cybersecurity."
The Center for Learner Equity,676,Antrim Elementary School,Antrim,New Hampshire,Contoocook Valley School District,"The Universal Design for Learning (UDL) framework is the foundation of the school’s approach to meaningful inclusion. Teachers regularly receive training in UDL, earning different levels of certification as they progress. Many participate in an optional UDL book club."
Rogers Family Foundation,508,ARISE High,Oakland,California,N/A,"ARISE is already featured in Transcend's list of national innovative school models on The Exchange: https://exchange.transcendeducation.org/models/adelante-student-services/?utm_source=models

The role of the Academic Mentors, the expanded extracurricular and Linked Learning opportunities for students, and the tremendous positive school culture, including shared leadership are what really stand out about ARISE."
Transcend,508,ARISE High,Oakland,California,ARISE High School,"ARISE high school empowers students to become critically conscious warrior intellectuals. They align academic, behavioral, and social-emotional approaches to ensure students and their families are provided integrated and responsice interventions attuned to their specific needs."
The Center for Learner Equity,788,Arthur Ashe Charter School,New Orleans,Louisiana,Firstline Schools,Arthur Ashe is part of Firstline schools charter network in New Orleans is a charter network. The network's philosophy emphasizes joy and anti-racism. The instructional model incorporates enrichment and out-of-school experiences as a key part of learning for all students.
Fannie Lou Hamer Freedom High School,642,Arturo A. Schomburg Satellite Academy Bronx,Bronx,New York,NYC DOE,"Located in poorest congressional district in the country, AASSAB is an excellent progressive performance assessment school that works with overaged, under credited students. "
NewSchools Venture Fund,620,Atlas Public Schools,St. Louis,Missouri,N/A (single site charter),"At Atlas, we ignite curiosity and foster a love of learning in our kids through authentic, hands-on experiences. We believe in order to have thriving students, we need to have thriving teachers and we achieve this through a co-teaching model, two daily plan periods, and ongoing strategic planning through our year-round calendar."
NewSchools Venture Fund,691,Aventura Community School,Nashville,Tennessee,,Aventura Community School offers a bilingual project-based learning approach and a focus on global competence.
Transcend,769,Aventuras Forest School,Los Angeles,California,,"Aventuras is a language immersion forest school serving ages 3-6. The entire school day is spent outdoors in LA's parklands. They use an emergent play-based curriculum, where Spanish is woven into everything that they do -- from story telling to discovery trecks to imaginative play. Educators build the curriculum to meet the moment. Learning is playful, self-directed, engaged, and has a strong anti-bais emphasis. "
KnowledgeWorks,669,Batesburg-Leesville Primary School,Batesburg-Leesville,South Carolina,Lexington 3 School District,"For the last 4 years, Batesburg-Leesville Elementary School has been on a journey to grow and sustain a personalized learning system. With a focus on an instructional shift to a more student-centered environment, flexible seating, choice boards, and student interests were targeted strategies. With the COVID pandemic in 2020, BLPS soon realized they would need to dig deeper into the development and implementation of learning pathways to support all learners. Concerned about learning loss when virtual school was the only option, teachers engaged in professional collaboration to address those learning gaps. Prioritizing standards in ELA and Mathematics was a first step in the construction of an equitable viable Learning Continuum, where progressions of learning and readiness assessments were developed for the standards. As teachers continued to collaborate in both grade level and vertical teams, it was clear the curriculum work they had done served a larger purpose than addressing learning gaps – it had in fact provided an opportunity to foster agency in all learners! Date tracking and goal setting soon belonged to the 4- and 5-year-old kindergartners, first and second graders, and progress monitoring and celebrations of learning soon followed, where the outcome was student ownership of the learning! Generative curriculum, where the youngest of learners bring ideas to school about what they want to learn taps into curiosity and has made room for projects that are truly learner-centered at BLPS. The school’s personalized learning footprint is strong and has informed district systems shifts across the K-12 system."
NewSchools Venture Fund,692,Becoming Collegiate Academy,Jacksonville,Florida,N/A (single site charter),"Becoming Collegiate Academy is an HBCU inspired public charter school. Our vision is achieved through mirroring the  Historically Black College and University (HBCU) experience with a keen focus on: (1) fostering positive relationships, (2) leveraging culture and identity, and (3) upholding high expectations."
Transcend,692,Becoming Collegiate Academy,Jacksonville,Florida,Duval County Public Schools,"Inspired by HBCU modes -- high academic rigor in a suportive learning environment; the program strikes a balance of rigor and joy. There is a focus on high-quality instruction, high expecations, and literacy (increased and prioritized focus on literacy instruction in early grades). Additonally, there is a focus on a supportive learning environment (developing a positive sense of self and respect for the identities of others), building authentic connections through an inclusive realtionship-rich environment, and character development via practices like a daily community circle. The school also employs a house system to foster community and connection, accountability and more. "
NewSchools Venture Fund,693,BELIEVE Circle City High School,Indianapolis,Indiana,BELIEVE Schools,"BELIEVE Circle City High School is a public college and career preparatory high school dedicated to the achievement of students in the Indianapolis area. Our mission is to develop students into leaders through a community that fosters their agency, autonomy, and acceleration— providing a foundation for future independence and success."
Mastery Transcript Consortium,680,Bennett Day School,Chicago,Illinois,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Big Picture Learning,244,Big Picture Educational Academy,Fresno,California,Fresno County Office of Education,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Big Picture Learning,245,Big Picture South Burlington at South Burlington High School,Burlington,Vermont,South Burlington School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
KnowledgeWorks,781,Bismarck Career Academy and Technical Center,Bismarck,North Dakota,Bismarck Public Schools,"Empower[Ed] is a personalized path to graduation based on who students are and how they learn best. Learners engage in authentic, self-directed learning in areas of interest to them."
Barr Foundation,22,Blackstone Academy Charter School,Pawtucket,Rhode Island,,"Proficiency based learning
Social and emotional learning
Advisory
Public presentations and portfolio
Community improvement projects
Culturally responsive practices"
Transcend,794,Blue School,New York,New York,,"Learning is situated in inquiry and deep questions, even for the youngest learners. This inquiry is situated in place-based and interdisciplinary contexts. Also deeply commited to community and being sstewards of the environment. Assessment and presenting student learning in visible and actioanble ways is important. "
NewSchools Venture Fund,694,Bostonia Global K-14,El Cajon,California,Cajon Valley School District,"Mission: Empower young people to live lives of their own design. 
Vision: Happy Kids, Engaged in Healthy Relationships, on a Path to Gainful Employment. 
Our Approach: 
Signature design elements at all grade levels will serve as a catalyst for creating interest-based, authentic learning opportunities unique to each student. 
"
NewSchools Venture Fund,695,Breakthrough Charter School,Marion,Alabama,N/A (single site charter),"We are a project-based, service-oriented, diverse-by- design public charter school. We service students from more than 6 counties."
NewSchools Venture Fund,697,BRICK Achieve Middle School,Newark,New Jersey,BRICK Education Network,"We believe that students will achieve their full potential when students are given access to rigorous grade-level instruction, strong focus on relationships and social-emotional learning, and wrap-around-community supports where needed."
NewSchools Venture Fund,451,Bricolage Academy,New Orleans,Louisiana,Bricolage Academy,Bricolage advances educational equity by preparing students from diverse backgrounds to be innovators who change the world.
Mastery Transcript Consortium,544,Brightworks,San Francisco,California,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
NewSchools Venture Fund,696,Bronx Legacy High School,Bronx,New York,New York City Department of Education,"Bronx Legacy is an anti-racist and anti-bullying community that honors individual and cultural identity with a foundation rooted in Problem Solving, Community Learning, and Action."
NewSchools Venture Fund,698,Brooklyn Laboratory Charter School,Brooklyn,New York,Brooklyn Laboratory Charter Schools,"In a small school with a culture that values good teaching, creative programming, and broad community/parent engagement, students achieve great things. We have created a small, personalized and intellectually demanding school. Reducing our school size, however, is not on its own sufficient to achieve the positive academic gains and social outcomes that we envision. We strive to ensure that you will receive an excellent education."
NewSchools Venture Fund,699,Building 21 Allentown,Allentown,Pennsylvania,Allentown School District,"Building 21 Allentown is a non-selective competency-based high school in the Allentown School District. It is a new secondary model that seeks to facilitate an authentic learning experience that will address the unique social and academic needs of all learners.The Building 21 Allentown team will work closely with members of the local and school communities to carefully construct a robust network of online, offline, individual, small group, large group, skills-based, and applied learning opportunities to more effectively serve students of all types. Most importantly, the Building 21 model will develop teachers as guides and students as designers of their own pathways to graduation by giving them choice and voice about how, what, and where they learn."
NewSchools Venture Fund,700,Butler Academy,Hartsville,South Carolina,,"BA’s mission is to create an enthusiastic learning culture in which every student is expected and positioned to succeed academically. We realize this mission by emphasizing the social and emotional well-being of our students, families, and staff."
Mastery Transcript Consortium,532,Cabot School,Cabot,Vermont,Cabot School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
NewSchools Venture Fund,701,Caliber ChangeMakers Academy,Vallejo,California,Caliber Schools,"Caliber’s Mission is to achieve educational equity by shifting the experiences, expectations and outcomes for students in historically underserved communities. Our strengths-based educational program validates, affirms, respects and supports students, families and staff members to reach their full potential."
Anonymous,787,California Area High School,Coal Center,Pennsylvania,California Area School District,"California Area School is challenging the traditional notions of school by experimenting with grades, individualized educational programs and where students learn."
Big Picture Learning,250,Camden BPL Academy,Camden,New Jersey,Camden Unified School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
4.0 Schools,665,Capital Experience Lab,Washington,District of Columbia,Unsure,"The Capital Experience Lab makes use of all the resources DC has to offer, while closing the opportunity/access gap for local students. Their model helps students apply their learning and use their creativity in contexts beyond the classroom."
4.0 Schools,667,Capital Village Public Charter School,Washington,District of Columbia,Unsure,Capital Village is an intentionally small community where student-led projects blend Common Core standards with local social justice problems which students are empowered to design solutions for.
4.0 Schools,662,Capitol Learning Academy,Washington,District of Columbia,,"At Capitol Learning Academy, all students receive a personalized curriculum focused on the mindsets and technology needed to be adaptable lifelong learners. They have a vision for CLA acting as a lab school for innovative practices that can be shared and scaled to DC public and charter schools."
NewSchools Venture Fund,702,Carter G. Woodson College Preparatory Academy,Lexington,Kentucky,Fayette County Public Schools,We are a STEM Academy that emphasis experiential learning particularly in the agricultural fields.
NewSchools Venture Fund,703,Catalyst: Bremerton,Bremerton,Washington,Catalyst Public Schools,"We support our diverse scholars to live full lives and to succeed in college, career, and life.  Scholars will find their purpose and passion so that they can cultivate the critical hope, optimism and leadership essential to be catalysts in their community and world."
The Center for Learner Equity,673,Cecilton Elementary School,Cecilton,Maryland,Cecil County Public Schools district,"Cecilton elementary uses Universal Design for Learning and multi-tiered systems of support frameworks to make sure that all students receive the differentiated support they need. Student-led goal setting and conferences are core parts of the school's model, through which students are empowered as the owners of their learning.  "
Anonymous,28,Center Line High School - Wall to Wall Academies,Center Line,Michigan,Center Line Public Schools,Students have the opportunity to choose career pathways.
Transcend,790,Champlain Valley Union High School,Hinesburg,Vermont,Champlain Valley School District,"Strong learner-centered model arrived at via deep storytelling processes (including bringing in a storyteller from the Moth) so that students are able to articulate who they are and their whys and whats for learning. Learner profiles, flexible groupings, flexible pathways."
The Center for Learner Equity,677,Charlotte Central School,Charlotte,Vermont,Champlain Valley Unified School District,"The Charlotte Central School prioritizes culturally-responsive and trauma-informed practices in their approach to learning. Students receive ongoing social and emotional learning (SEL) support and the school utilizes SEL data to understand how engaged, challenged, and supported students feel to improve their practice."
NewSchools Venture Fund,32,Charlotte Lab School,Charlotte,North Carolina,Charlotte Lab Schools,"Since our founding in 2015, Charlotte Lab School has been committed to adopting and modeling a habit of innovation - keeping the changing needs of our students at the forefront of all decisions related to curriculum, programs, and policies. Grounded in this student-centered approach are the principles that guide how we approach our work and each other. We call it The Lab Way."
Barr Foundation,745,Chelsea Opportunity Academy,Chelsea,Massachusetts,Chelsea Public Schools,"Project-based learning with transformative learning experiences
Primary person model with academic counseling
Post secondary success planning with students
Work to credit program"
