Nomination ID,Nominator Org,Reason for nominating,Canopy School ID,Publicly disclosable nominator org
Nominator_2020-11_NewSchools Venture Fund_,NewSchools Venture Fund,"We aspire to be a proof point, inclusive school model, that sets a high bar for academic achievement, with an intentional focus on social-emotional learning, and integration of identity/justice/action/diversity across our curriculum and school culture. We seek to be a community of joy and kind hearts!   In our inclusive school model, we serve a population of English Language Learners that span a multitude of languages (18%), as well as a high population of special education students, primarily those with emotional and behavioral needs (15%). ",,Anonymous
Nominator_2023-11_Transcend_,Transcend,"Started in 2010, the Green Academy at Abraham Lincoln High strives to teach students to discover and implement new solutions to environmental issues. Students also participate in outdoor educational challenges to develop confidence and leadership skills.",,Anonymous
Nominator_2022-11_North Dakota Department of Public Instruction_,North Dakota Department of Public Instruction,"West Fargo is focused on becoming a more equitable system by leveraging personalized learning practices at the classroom, building and district levels",,North Dakota Department of Public Instruction
Nominator_2022-11_Education Counsel_,Education Counsel,"The Virginia Beach City Public School’s Environmental Studies Program at the Chesapeake Bay Foundation’s Brock Environmental Center is on the forefront of reimagining the structures of high school through student empowerment and giving students a voice in the community. This facility, where 11th and 12th grade students come to learn every day, is located in the middle of a free public park called Pleasure House Point Natural Area. The 118 acre park is a living laboratory for learning, and it is as much of a classroom space for the students as the actual building they learn in. The building in the park where students attend classes is on the Lynnhaven River at the mouth of the Chesapeake Bay, and it is not a school building. Instead, students attend classes at the regional headquarters of the Chesapeake Bay Foundation. All students, while at the CBF Brock Environmental Center, are learning in the tenth living building in the world. Students not only get to work with teachers but also get to work directly with members of the Chesapeake Bay Foundation, whose inclusive efforts connect students to real-world, relevant work spanning 6 states and the District of Columbia. 
 The Virginia Beach City Public School’s Environmental Studies Program helps students connect their passions to career paths through personalized internships. The internships, a critical component of the program, connect students with community partners to gain career experience; showcasing the vibrant expanse of organizations connected to science and sustainability in our community. Environmental architectural design, fisheries ecology, horticultural studies, audio engineering, forestry and water impoundment studies, outdoor education, environmental policy, eco tourism, and solar installation contracting; this range of internship opportunities cultivates passion and career advancement. This program puts students at the helm using science and sustainability to solve tomorrow's problems today.",,Anonymous
Nominator_2021-12_Institute for Personalized Learning_,Institute for Personalized Learning,"They are working to bring Personalized, Competency-Based Education to scale in the entire district. Currently have multiple pockets of innovation and environments. ",,Institute for Personalized Learning
Nominator_2023-11_New Tech Network_,New Tech Network,"
Ninety percent of New Tech Network schools operate within traditionally structured public school districts. In 2011, starting with the Academy of Global Studies with a diverse student population of 3,800, the Winton Woods  School District leadership transformed its pedagogical approach through the implementation of the New Tech Network whole-school  model of transformation across the entire district by the 2018-19 school year. Since then, PBL has been adopted at all grade levels, making Winton Woods the first school district in the country to embrace PBL from preschool through twelfth grade. As part of Ohio's state biennial budget, Straight A Fund intentionally awarded the District, scaling quickly more customized, personalized learning experiences that meet their students’ diverse instructional needs. 
",,New Tech Network
Nominator_2021-12_A Revolution in Education_,A Revolution in Education,"Focused on authentic, real-world projects.  Many of them in the community.",,A Revolution in Education
Nominator_2022-11_4.0 Schools_,4.0 Schools,"PISOTA is Charles County's tuition-free public charter school. Daily arts education is paired with an international perspective to promote student creativity, regardless of background.",,4.0 Schools
Nominator_2022-11_Revolution School_,Revolution School,"Revolution is not just an innovative new high school. We are also a diverse network of collaborators engaging in educational change. Our goals are to expand learning choices in schools to ensure opportunity readiness for all to improve diversity, equity and inclusion in education and the future of work.

School innovation requires a coalition. Revolution School executes a new high school model designed to unleash the learning that happens when students and communities come together to listen, learn and lead.  Our opportunity readiness skill building program designed with and for diverse young people, and paired with an authentic community, ignites the ingenuity we need for both the present and future of work. 

To achieve our goals, we harness the resources of local communities and organizations across Philadelphia and beyond. We aim for those who would otherwise not meet organically to disrupt the silos. We have thus far built a network of over 2000 community members, 200 of whom actively engage in the programming of the Revolution School. 

We closely collaborate with partners to deliver a curriculum that develops skills, habits and dispositions for action. While foundational skills are built through systematic practice, they are internalized when used through purposeful action. 

Instead of sitting in a classroom to learn about democracy, students work with community organizers to get out the vote during an election. Instead of laborious writing exercises, students pitch project ideas and set up informational interviews with community leaders.  Instead of presenting only to peers, students attend meetings with the Streets Department to represent youth voice in debates on bike lanes. These experiences are not extra, they are our program.

Revolution School uniquely connects students across Philadelphia to problem solvers, innovative leaders, and creative thinkers and prepares them to one day step into those roles themselves. 
",,Anonymous
Nominator_2022-11_NewSchools Venture Fund_,NewSchools Venture Fund,"Diverse by design, Charlotte Lab School uses the community as our classroom to provide personalized, engaging, and authentic learning experiences designed to prepare students for lifelong wellness and success in college and a global workplace.  
",,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_,NewSchools Venture Fund,New School San Francsico is provides an equitable and inquiry based educated in an diverse-by-design and anti-racist environment. ,,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_,NewSchools Venture Fund,"Lead Charter School's model is grounded in the unwavering belief in the power of young people to transform their lives and the community. Our model is developed and delivered by practitioners of research-based youth development practices and systems that ensure a tailored, personalized, strengths-based learning experience, grounded in the advocacy of Opportunity Youth. Our model contains five interconnected core components:
1. Education
2. Construction PLUS
3. Counseling and Counseling Management
4. Leadership Development
5. Graduate Success",,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_,NewSchools Venture Fund,"At Kairos, we believe now is the opportune moment to rethink public education. That's why we replace lectures with engaging projects and dictatorial ""behavior managers"" with 1-1 executive functioning coaches who help students learn how to manage their own schedule and work habits. Kairos students practice navigating real-world choices (such as when, where, how, and with whom to work) within a safe, supportive school environment. Kairos develops students not just into freethinkers, ready to thrive in a modern economy, but self-governing citizens, ready to lead both themselves and their communities.",,NewSchools Venture Fund
Nominator_2020-11_Fielding International_,Fielding International,"Over the past four years, Hilton Head Christian Academy has partnered with Fielding International to design, develop, and deliver the best combination of educational spaces aligned to innovative learning strategies, as the school transitions from traditional teaching methodologies to project- and inquiry-based, experiential learning practices.  During the building development phase, the design team worked closely with regional architects to blend Hilton Head�s natural environment and school culture into structural realities as they transition off Hilton Head Island and read a larger more diverse demographic in Blufton. A large investment into on-site exposure and training aided the entire school community in understanding the value of open-design concepts, why seating and learning communities need to be flexible and serve multiple purposes, and how to maximize authentic learning opportunities within and around the physical building.  Consistent reviews of best practices and local regulations mirrored the academic process underlying the pedagogical shift and engaged a multitude of stakeholders (families, faculty, community, alumni, and students) in the design process.  Increased student voice and agency in the means by which learning can happen manifest a more interactive approach to learning at school; even under the current, physically-distanced limitations, the pillars for collaborative, creative, and authentic learning communities have been placed.    Through the introduction of pathfinders to practice new learning spaces, hands-on professional developments to craft projects and integrate inquiry, and a wide variety of curricular resources to orient thought, HHCA is now equipped to effectively lead the advancement of education in the state and across the Southeast.  Fielding International�s partnership in this endeavor has placed HHCA in a position to meet its internal goals and exceed its original external expectations.  From flex-mod scheduling to scaffolded authentic challenges to learning suites that house multi-grade instruction and competency-based, cross-curricular, core content classes, the growth is immeasurable.  These aspects are now commonalities to students, faculty, and families.   ",,Fielding International
Nominator_2023-11_Getting Smart_,Getting Smart,"This microschool model merges high school education with real-world industry experience, enabling students to learn in an authentic professional environment. Students will engage in project-based learning, collaborate with industry experts, and develop 21st-century skills while earning high school and college credits. These microschools are hybrid in nature, combining on-campus and online learning components, and they are built on the foundation of project-based learning (PBL). Providing students with hands-on learning opportunities and a direct pathway into their chosen industries. ",,Getting Smart
