School Name,CanopyID,Formatted disclosable nominator list,Displayed in Portal?,Reason for nominating (from Nominations)
Anastasis Academy,8,ReSchool Colorado,"Spring 2023,Spring 2024",
Citizens of the World Hollywood,37,Charter School Growth Fund,"Spring 2023,Spring 2024",
Blackstone Academy Charter School,22,"Great Schools Partnership, Center for Artistry and Scholarship","Spring 2023,Spring 2024","The school is based on the Common Principles from the Coalition of Essential Schools and works purposely to build student agency and understanding within a very student-centered and supportive culture.  They have very strong practices of reaching out to involve families as honest and equal partners in their work., Proficiency based learning
Social and emotional learning
Advisory
Public presentations and portfolio
Community improvement projects
Culturally responsive practices"
Asa Messer Elementary School,10,Highlander Institute,"Spring 2023,Spring 2024",
CodeRVA Regional High School,41,Virginia Department of Education,"Spring 2023,Spring 2024",
American Academy of Innovation,7,"Utah State Board of Education, Mastery Transcript Consortium","Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Boston Day and Evening Academy,24,"Education Evolving, Clayton Christensen Institute and multiple anonymous organizations","Spring 2023,Spring 2024",
Avalon School,15,"Education Evolving, EdVisions, Center for Teaching Quality, Education Reimagined","Spring 2023,Spring 2024",
Casco Bay High School,27,"EL Education, Great Schools Partnership, and Next Generation Learning Challenges","Spring 2023,Spring 2024","Casco Bay has tied together project-based learning using an EL model with proficiency-based learning in an environment that is extremely student centered. Students are known as individuals and while there are common learning expectations for all students, teachers work to build upon each student's skills and capacities. Students learn agency along with deep content and skills, Casco Bay is a wonderful example of a school creating its own successful version of a very successful national school and learning template -- the EL Schools model. It is a district school, not a charter, in the Portland public schools and so is subject to all of the same regulations, policies, and contracts that all regular public schools are subject to. And yet the experience its students have at Casco Bay is very different than the ""normal"" experience most kids have in schools these days. Casco Bay, like all EL schools, is very deeply experiential and project-based -- most learning is connected to some form of authentic purpose. It has done exceptional work in thinking about and designing ways to gauge student growth across a number of dimensions not normally on the radar in public schools. It is doing all of this work with a student body that -- while it has opted into the school -- reflects much of the diversity, complexity, and challenges  that many public schools must address right now. We have brought teams of educators to Casco Bay many times over the past five years and these educators routinely leave feeling inspired and with a whole new view of what schools can be. A video of Casco Bay's community grappling, in typically student-led ways, with a racist incident was featured in our recent virtual film festival, This Is Our Chance. See ""Walking in Solidarity"" on this page of the festival site: https://our-chance.com/week-1/."
Community Lab School,45,EdSurge and an anonymous organization,"Spring 2023,Spring 2024",
Concourse Village Elementary School,47,"TNTP, The Learning Accelerator and an anonymous organization","Spring 2023,Spring 2024",The school does a lot with culture. SEL is intertwined in their DNA
Common Ground High School,44,an anonymous organization,"Spring 2023,Spring 2024",
Canon City High School,26,"iLearn Collaborative, Colorado Education Initiative and an anonymous organization","Spring 2023,Spring 2024","Canon City High School offers the most compelling set of coherent, aligned career connected learning experiences to the students it serves that I have ever seen. Starting with robust career pathways which are core-curriculum aligned, to the comprehensive career and technical education program which results in 100s of industry certifications, to the P-TECH program, where students graduate with both a high school and associates degree, to the internship program, in which every student participates, to the ""Capstone for All"" graduation requirement - where every student demonstrates competence in the Canon City ""Skills and Traits"" graduate profile.  There is even a ""school within a school"" Open Pathway for students who don't connect with the offered career pathways. This is the most complete, most equitable, and more authentic district school experience I know of.  "
City Garden Montessori School,38,Education Reimagined,"Spring 2023,Spring 2024",
DB EXCEL (Kingsport),52,Tennessee SCORE,"Spring 2023,Spring 2024",
Impact | Puget Sound Elementary,101,"Charter School Growth Fund, NewSchools Venture Fund and an anonymous organization","Spring 2023,Spring 2024","Impact | Puget Sound Elementary (PSE) is the flagship campus for Impact Public Schools, the first homegrown Washington state elementary charter network. After opening in 2018, Impact | PSE has proven that its model has the ability to narrow, and eventually close, the opportunity gap for historically marginalized students in south Puget Sound. Impact | PSE uses a model rooted in three design principles:  [1] Relationships: Fostering secure attachments within a tight-knit community of learners using a small group mentor model. [2] Agency: Working with families and students to develop comprehensive, personalized learning pathways for each individual scholar [3] Liberation: Creating deep, authentic learning experiences for students that lead to activism through the exploration of contextualized topics that are relevant in students� communities.  The Impact | PSE model employs an expanded definition of student success. While Core Skills are critical to student success, Impact | PSE also believes that deeper learning skills and social-emotional skills are essential to support the next generation of equity-driven, innovative leaders. These three design principles are the foundation for achieving this vision of student success.   Impact | PSE�s implementation of a decolonized project-based learning (PBL) program is a stand-out element of the school model. The PBL curriculum has been designed to shift the dominant perspective and highlight voices, stories, and information that has not been emphasized in how students traditionally learn history. These projects lift up the indigenous perspective and work to break down institutional racism many educational systems continue to perpetuate. Impact | PSE operates with the belief that all scholars deserve to see themselves and their experiences reflected in what is being taught in their classrooms. All students deserve to learn about and be exposed to writers, artists, historians, community heroes and leaders who share their background and identity. In order for the Impact | PSE curriculum to be liberating, it must be rooted in the local communities it serves. At Impact | PSE, instructional leaders ensure that the liberated PBL model is replicable by developing a rigorous and relevant base curriculum that includes assessment tools, lesson plans and exemplars. Then, the school provides systems, structures (including a process for community/parent design input) and professional development to ensure the projects are rooted in the school community. This two-part method ensures that the curriculum is not rooted in the command, control and regurgitation of facts, but instead in the exploration of important, relevant questions that allow students to create real products and showcase them in front of a live audience of peers, parents and community members., The instructional model has been designed to ensure that every student has the opportunity to meet career- and college-ready standards. The model is based on three essential design elements that have been selected to nurture 21st century skills and habits within a culturally-responsive learning environment: 1. School-based mentor groups, 2. Personalized learning pathways for every student and 3. Project-based learning (PBL)."
Frank McCourt High School,79,Competency Collaborative,"Spring 2023,Spring 2024",
