school_id,school_name,group,n_org,org
24,Boston Day and Evening Academy,a,4,Education Evolving
24,Boston Day and Evening Academy,a,4,Jobs for the Future
24,Boston Day and Evening Academy,a,4,Education First
24,Boston Day and Evening Academy,a,4,Clayton Christensen Institute
44,Common Ground High School,a,1,Barr Foundation
47,Concourse Village Elementary School,a,4,Overdeck Family Foundation
47,Concourse Village Elementary School,a,4,TNTP
47,Concourse Village Elementary School,a,4,The Learning Accelerator
47,Concourse Village Elementary School,a,4,The Learning Accelerator
63,East College Prep,a,2,NewSchools Venture Fund
63,East College Prep,a,2,NewSchools Venture Fund
64,USC Hybrid High College Prep,a,2,Transcend
64,USC Hybrid High College Prep,a,2,Charter School Growth Fund
67,Empower Community High School,a,6,Moonshot EdVentures
67,Empower Community High School,a,6,Teach for America
67,Empower Community High School,a,6,ReSchool Colorado
67,Empower Community High School,a,6,Moonshot EdVentures
67,Empower Community High School,a,6,Moonshot EdVentures
67,Empower Community High School,a,6,NewSchools Venture Fund
76,Flushing International High School,a,2,Springpoint Schools
76,Flushing International High School,a,2,Aurora Institute
98,Howard Middle School for Math and Science,a,1,228 Accelerator
109,KIPP Academy Lynn Collegiate,a,2,Barr Foundation
109,KIPP Academy Lynn Collegiate,a,2,Center on Reinventing Public Education
139,New Legacy Charter School,a,3,Big Picture Learning
139,New Legacy Charter School,a,3,Moonshot EdVentures
139,New Legacy Charter School,a,3,Big Picture Learning
146,NYC iSchool,a,1,Competency Collaborative
165,Purdue Polytechnic High School - Englewood,a,2,XQ Institute
165,Purdue Polytechnic High School - Englewood,a,2,NewSchools Venture Fund
172,Rooted School,a,4,YouthForce Nola
172,Rooted School,a,4,National Charter Collaborative
172,Rooted School,a,4,Rooted School Foundation
172,Rooted School,a,4,NewSchools Venture Fund
189,Social Justice Humanitas Academy,a,3,Education Evolving
189,Social Justice Humanitas Academy,a,3,Center for Teaching Quality
189,Social Justice Humanitas Academy,a,3,Transcend
209,Two Rivers Public Charter School: 4th Street Campus,a,2,EdSurge
209,Two Rivers Public Charter School: 4th Street Campus,a,2,Center on Reinventing Public Education
237,ACE Leadership High School,a,2,Future Focused Education
237,ACE Leadership High School,a,2,Future Focused Education
241,Avonworth High School,a,1,Duquesne University School of Education
253,Community of Saints Regional Catholic School,a,1,Alliance for Catholic Education
266,Embark Education,a,2,Moonshot EdVentures
266,Embark Education,a,2,Education Reimagined
268,Environmental Charter School,a,2,Duquesne University School of Education
268,Environmental Charter School,a,2,Remake Learning Network
270,Escuela Verde,a,1,Education Evolving
275,Glenwood Elementary,a,1,Rural Schools Collaborative
276,Grand Rapids Public Museum School,a,3,Getting Smart
276,Grand Rapids Public Museum School,a,3,Springpoint Schools
276,Grand Rapids Public Museum School,a,3,GreatSchools
284,Highlands Micro School,a,1,Education Reimagined
291,International High School at Langley Park,a,1,Springpoint Schools
296,Kennedy Elementary School,a,1,Kansas Can School Redesign Project
299,Lead Innovation Studio,a,1,Getting Smart
303,Living School,a,2,The Learning Accelerator
303,Living School,a,2,NewSchools Venture Fund
308,Matchbook Learning at Wendell Phillips,a,1,The Learning Accelerator
312,Nashville Big Picture High School,a,2,Big Picture Learning
312,Nashville Big Picture High School,a,2,Big Picture Learning
325,NuVu Innovation School,a,1,Getting Smart
330,Ottawa High School,a,1,Kansas State Department of Education
332,Pathways High,a,3,Transcend
332,Pathways High,a,3,Mastery Transcript Consortium
332,Pathways High,a,3,Mastery Transcript Consortium
346,San Diego Met High School,a,2,Big Picture Learning
346,San Diego Met High School,a,2,Big Picture Learning
348,Science Leadership Academy,a,1,Getting Smart
353,South Bronx Community Charter High School,a,1,Aurora Institute
356,Stockton Elementary School,a,1,Kansas Can School Redesign Project
358,Tahoe Expedition Academy,a,1,Open Way Learning
359,Technology Leadership High School,a,2,Future Focused Education
359,Technology Leadership High School,a,2,Future Focused Education
364,University Academy Upper School,a,1,Getting Smart
368,Verdi EcoSchool,a,1,Education Reimagined
369,Vista Grande Charter High School,a,1,NACA Inspired Schools Network
421,Great Oaks Bridgeport,a,1,Barr Foundation
426,Center City Congress Heights,a,1,EmpowerK12
477,Paramount Brookside,a,1,The Center for Learner Equity
21,Berrien Springs Virtual School,a,1,EdTech Specialists
458,The Albuquerque Sign Language Academy,a,2,Education Resources Consortium
458,The Albuquerque Sign Language Academy,a,2,Center on Reinventing Public Education
10,Asa Messer Elementary School,a,1,Highlander Institute
120,Magnolia Montessori For All,a,1,Next Generation Learning Challenges
388,Frederick County Middle School,a,1,Chan Zuckerberg Initiative
410,CHIME Institute's Schwarzenegger Community,a,1,The Center for Learner Equity
431,The U School,a,1,A Revolution in Education
429,The Workshop School,a,1,A Revolution in Education
483,Detroit Prep,a,2,Diverse Charter Schools Coalition
483,Detroit Prep,a,2,NewSchools Venture Fund
101,Impact | Puget Sound Elementary,a,3,Charter School Growth Fund
101,Impact | Puget Sound Elementary,a,3,NewSchools Venture Fund
101,Impact | Puget Sound Elementary,a,3,NewSchools Venture Fund
400,Legacy Prep,a,2,NewSchools Venture Fund
400,Legacy Prep,a,2,NewSchools Venture Fund
475,Link Learning,a,1,MiCoOp
382,Next STEP High,a,2,Educate Maine
382,Next STEP High,a,2,Center on Reinventing Public Education
472,Burlington City & Lake Semester,a,1,Vermont Learning for the Future
466,The Forest School,a,3,Transcend
466,The Forest School,a,3,Mastery Transcript Consortium
466,The Forest School,a,3,Mastery Transcript Consortium
417,Grant Beacon Middle School,a,1,Empower Schools
281,Health Leadership High School,a,3,Future Focused Education
281,Health Leadership High School,a,3,San Diego Metropolitan Career and Technical High School
281,Health Leadership High School,a,3,Future Focused Education
7,American Academy of Innovation,a,2,Utah State Board of Education
7,American Academy of Innovation,a,2,Mastery Transcript Consortium
16,Avanti High School,a,1,Populace
37,Citizens of the World Hollywood,a,1,Charter School Growth Fund
42,Columbia Heights Educational Campus (CHEC),a,1,228 Accelerator
45,Community Lab School,a,2,EdSurge
45,Community Lab School,a,2,Overdeck Family Foundation
58,Digital Pioneers Academy,a,4,Philanthropy Roundtable
58,Digital Pioneers Academy,a,4,The Center for Learner Equity
58,Digital Pioneers Academy,a,4,NewSchools Venture Fund
58,Digital Pioneers Academy,a,4,Transcend
91,Mott Haven Academy,a,1,TNTP
119,Madison Palmer High School,a,1,Global Teaching Project
167,Red Bank Elementary,a,1,South Carolina Department of Education Office of Personalized Learning
191,Solar Preparatory School for Girls,a,4,Bellwether Education Partners
191,Solar Preparatory School for Girls,a,4,NewSchools Venture Fund
191,Solar Preparatory School for Girls,a,4,NewSchools Venture Fund
191,Solar Preparatory School for Girls,a,4,NewSchools Venture Fund
204,The Metropolitan Regional Career and Technical Center,a,6,Big Picture Learning
204,The Metropolitan Regional Career and Technical Center,a,6,Education Reimagined
204,The Metropolitan Regional Career and Technical Center,a,6,Populace
204,The Metropolitan Regional Career and Technical Center,a,6,GreatSchools
204,The Metropolitan Regional Career and Technical Center,a,6,The Learning Accelerator
204,The Metropolitan Regional Career and Technical Center,a,6,Big Picture Learning
212,Urban Montessori Charter School,a,2,Rogers Family Foundation
212,Urban Montessori Charter School,a,2,Rogers Family Foundation
3,The Academy of Advanced Learning,b,2,NewSchools Venture Fund
3,The Academy of Advanced Learning,b,2,NewSchools Venture Fund
8,Anastasis Academy,b,1,ReSchool Colorado
11,Aspen Academy,b,2,Moonshot EdVentures
11,Aspen Academy,b,2,Moonshot EdVentures
15,Avalon School,b,4,Education Evolving
15,Avalon School,b,4,EdVisions
15,Avalon School,b,4,Center for Teaching Quality
15,Avalon School,b,4,Education Reimagined
38,City Garden Montessori School,b,1,Education Reimagined
52,DB EXCEL (Kingsport),b,1,Tennessee SCORE
69,EPiC Elementary,b,1,The Learning Accelerator
70,Evergreen Community Charter School,b,1,National Center for Learning Disabilities
71,Fannie Lou Hamer Freedom High School,b,3,Big Picture Learning
71,Fannie Lou Hamer Freedom High School,b,3,Big Picture Learning
71,Fannie Lou Hamer Freedom High School,b,3,Big Picture Learning
79,Frank McCourt High School,b,1,Competency Collaborative
80,Fred Tjardes School of Innovation,b,1,Springpoint Schools
83,Gem Prep Nampa,b,2,Charter School Growth Fund
83,Gem Prep Nampa,b,2,NewSchools Venture Fund
85,Girls Athletic Leadership Middle School,b,1,Colorado Education Initiative
94,Highline Big Picture,b,3,Big Picture Learning
94,Highline Big Picture,b,3,Big Picture Learning
94,Highline Big Picture,b,3,Big Picture Learning
100,Urban Discovery High School,b,1,Center for Secondary School Redesign
105,Juab High School,b,1,Utah State Board of Education
122,Map Academy Charter School,b,3,Barr Foundation
122,Map Academy Charter School,b,3,Clayton Christensen Institute
122,Map Academy Charter School,b,3,Clayton Christensen Institute
144,Northside Elementary School,b,1,Office of Innovation for Education in Arkansas
