school_id,school_name,group
24,Boston Day and Evening Academy,a
44,Common Ground High School,a
47,Concourse Village Elementary School,a
63,East College Prep,a
64,USC Hybrid High College Prep,a
67,Empower Community High School,a
76,Flushing International High School,a
98,Howard Middle School for Math and Science,a
109,KIPP Academy Lynn Collegiate,a
139,New Legacy Charter School,a
146,NYC iSchool,a
165,Purdue Polytechnic High School - Englewood,a
172,Rooted School,a
189,Social Justice Humanitas Academy,a
209,Two Rivers Public Charter School: 4th Street Campus,a
237,ACE Leadership High School,a
241,Avonworth High School,a
253,Community of Saints Regional Catholic School,a
266,Embark Education,a
268,Environmental Charter School,a
270,Escuela Verde,a
275,Glenwood Elementary,a
276,Grand Rapids Public Museum School,a
284,Highlands Micro School,a
291,International High School at Langley Park,a
296,Kennedy Elementary School,a
299,Lead Innovation Studio,a
303,Living School,a
308,Matchbook Learning at Wendell Phillips,a
312,Nashville Big Picture High School,a
325,NuVu Innovation School,a
330,Ottawa High School,a
332,Pathways High,a
346,San Diego Met High School,a
348,Science Leadership Academy,a
353,South Bronx Community Charter High School,a
356,Stockton Elementary School,a
358,Tahoe Expedition Academy,a
359,Technology Leadership High School,a
364,University Academy Upper School,a
368,Verdi EcoSchool,a
369,Vista Grande Charter High School,a
421,Great Oaks Bridgeport,a
426,Center City Congress Heights,a
477,Paramount Brookside,a
21,Berrien Springs Virtual School,a
458,The Albuquerque Sign Language Academy,a
10,Asa Messer Elementary School,a
120,Magnolia Montessori For All,a
388,Frederick County Middle School,a
410,CHIME Institute's Schwarzenegger Community,a
431,The U School,a
429,The Workshop School,a
483,Detroit Prep,a
101,Impact | Puget Sound Elementary,a
400,Legacy Prep,a
475,Link Learning,a
382,Next STEP High,a
472,Burlington City & Lake Semester,a
466,The Forest School,a
417,Grant Beacon Middle School,a
281,Health Leadership High School,a
7,American Academy of Innovation,a
16,Avanti High School,a
37,Citizens of the World Hollywood,a
42,Columbia Heights Educational Campus (CHEC),a
45,Community Lab School,a
58,Digital Pioneers Academy,a
91,Mott Haven Academy,a
119,Madison Palmer High School,a
167,Red Bank Elementary,a
191,Solar Preparatory School for Girls,a
204,The Metropolitan Regional Career and Technical Center,a
212,Urban Montessori Charter School,a
3,The Academy of Advanced Learning,b
8,Anastasis Academy,b
11,Aspen Academy,b
15,Avalon School,b
38,City Garden Montessori School,b
52,DB EXCEL (Kingsport),b
69,EPiC Elementary,b
70,Evergreen Community Charter School,b
71,Fannie Lou Hamer Freedom High School,b
79,Frank McCourt High School,b
80,Fred Tjardes School of Innovation,b
83,Gem Prep Nampa,b
85,Girls Athletic Leadership Middle School,b
94,Highline Big Picture,b
100,Urban Discovery High School,b
105,Juab High School,b
122,Map Academy Charter School,b
144,Northside Elementary School,b
150,One Stone,b
180,SEEQS: the School for Examining Essential Questions of Sustainability,b
197,STRIVE Prep - RISE,b
208,TRIO Wolf Creek Distance Learning Charter School,b
218,Waimea Canyon Middle School,b
234,Virtual Learning Academy,b
235,International School of the Americas,b
236,5280 High School,b
247,Blue Valley Center for Advanced Professional Studies (CAPS),b
292,Intrinsic Charter School,b
293,Iowa BIG,b
302,Lincoln Middle School (AR),b
319,Nipmuc Regional High School,b
323,Northeast Academy for Aerospace and Advanced Technologies,b
333,Paulo Freire Freedom School -Downtown,b
345,Saint John Paul II,b
360,The Center for Advanced Research and Technology (CART),b
371,Washtenaw Alliance for Virtual Education (WAVE),b
445,Lewisburg Elementary,b
384,Gull Lake Virtual Partnership,b
383,Oxford Virtual Academy,b
201,Taos Academy Charter School,b
480,Manara Leadership Academy,b
27,Casco Bay High School,b
452,Nokomis Regional High,b
455,Uxbridge High School,b
97,Horizons Alternative Education School,b
81,Future Public School,b
380,Southeast Area Technical High School (SEA-TECH),b
41,CodeRVA Regional High School,b
394,Hazen Union High School,b
251,City of Bridges High School,b
462,Spring Grove School,b
132,Mission Vista High School,b
228,William Smith High School,b
84,Gibson Ek High School,b
140,Noble High School,b
141,Norris Academy,b
225,Wheeling High School,b
199,Summit Prep,c
213,Valley New School,c
221,Waukesha STEM Academy Saratoga Campus,c
233,Cesar E. Chávez Multicultural Academic Center,c
238,Altona Middle School,c
243,Bennington Junior-Senior High School,c
249,Brockton High School,c
252,Coastal Leadership Academy,c
259,Dighton Elementary School,c
260,Dighton Junior-Senior High School,c
269,EPIC Academy at Lamoille Union High School,c
272,Fulton Academy of Science and Technology,c
280,Harrison High School,c
283,Highland Academy Charter School,c
287,Ida B. Wells Middle School,c
289,Innovation Academy at Pembroke Academy,c
297,LaFayette Big Picture at LaFayette Junior/Senior High School,c
300,Leominster Center for Excellence,c
301,Liberal High School,c
307,Marshall High School,c
311,Mountain Academy at Teton Science School,c
313,Nawayee Center School,c
316,New Village Girls Academy,c
317,Newark East Side High School,c
324,Northwest Passage High School,c
327,Olympic Hills Elementary,c
329,Opportunities Academy,c
331,P.K. Yonge,c
334,Paulo Freire Freedom School -University,c
339,Provident Heights Elementary,c
349,Siembra Leadership High School,c
351,Sojourner Truth Montessori School,c
355,SPARK School at Kyrene de las Manitas,c
357,Tacoma School of the Arts,c
362,The Springfield Renaissance School,c
363,Tri-County Early College High School,c
365,Valley Day School,c
366,Van Ness Elementary School,c
373,Wickliffe High School,c
379,Zeta Bronx 1 Elementary,c
405,Western School of Science and Technology,c
439,Jasper High School,c
419,Escuela Valdez,c
420,McGlone Academy,c
425,Promise Academy,c
242,Benjamin Banneker Charter Public School,c
474,EdVisions Off Campus School,c
482,Irving Elementary,c
481,Arlington STEM Academy,c
397,Williams Elementary School,c
294,John J. Cairns High School,c
309,Met Sacramento High School,c
240,Aspen Valley Prep Academy,c
423,Ballou Senior High School,c
415,Yu Ming Charter School,c
424,Anacostia High School,c
416,Chrysalis Charter School,c
66,Ember Charter School for Mindful Education; Innovation; and Transformation,c
434,Comp Sci.High,c
399,Hilton Head Christian Academy,c
347,San Francisco Day School,c
471,Woodstock Union Middle/High School,c
389,Central Vermont Career Center,c
402,i3 Academy,c
395,Missisquoi Valley Union Middle and High School,c
478,West Michigan Virtual Academy,c
391,Bellows Free Academy,c
396,Quest Academy,c
443,Rooted School Indianapolis,c
