school_name,school_id
Mountain Academy at Teton Science School,311
Sojourner Truth Montessori School,351
Montessori Adolescent Program,503
Red Bridge,506
Long-View Learning,512
Forest Freedom School,514
Slope School,524
Grayson School,538
Brightworks,544
Acton Academy Venice Beach,545
Arabia Mountain High School - Academy of Engineering- Medic,552
Phillips Academy,564
Sequoyah School,566
Springhouse Community School,567
The Sycamore School,569
Black Mother's Forum Microschool,572
Conductive Education Center of Orlando,576
North Florida School of Special Education,577
Jacksonville School for Autism,578
My Reflection Matters Village,580
Bridges Academy,582
Texas Tech University K-12,588
Nazareth Prep,593
The Williamsburg High School of Art and Technology,595
The 1881 Institute,604
8 Million Stories,605
Build UP,606
La Luz,607
Legacy Classical Christian Academy,608
My Tech High,609
Portal Schools,610
Unidos Homeschool Cooperative,612
Atlas Public Schools,620
Prospect Academy,638
Dekalb Brilliance Academy,643
Hamilton High School,650
Phoenix International School of the Arts,664
Tapestry Public Charter School,672
A School Without Walls,686
Aventura Community School,691
Empower Community School,707
Seckinger High School,728
The Genius School,730
Why Not You Academy,733
Achievers Early College Prep Charter School,737
Zeta Bronx Tremont Park Elementary,738
Icon Preparatory School Jacksonville,768
Aventuras Forest School,769
UP Academy,770
Keres Children's Learning Center,771
AIM Academy,772
St. Benedict's Preparatory School,773
Blue School,794
The Nueva School,795
Codman Academy Charter School,799
Iowa BIG,293
The Albuquerque Sign Language Academy,458
Village High School,499
Acceleration Preparatory Academy,736
Acceleration Day and Evening Academy,735
Achieve Community Charter School,306
Alabama Aerospace and Aviation High School,688
Community Lab School,45
Native American Community Academy,134
La Promesa,624
Choice Learning Academy,755
Building 21 Allentown,699
Alma Fuerte Public School,689
Alpena Career Tech Education Center,5
Altura Preparatory School,690
American Academy of Innovation,7
Highland Academy Charter School,283
Anderson Institute of Technology,777
A2 Virtual+ Academy,1
Valley New School,213
Odessa High School,675
Blessed Sacrament Catholic School,246
Ascension Catholic School,239
Nativity of Mary Catholic School,135
St. Alphonsus Catholic School,194
Community of Saints Regional Catholic School,253
Saint John Paul II,345
