school_name,year_2019,year_2021,year_2022,year_2023,total_count
5280 High School,,1,1,1,3
8 Million Stories,,,,1,1
A Vito Martinez Middle School,,,1,,1
A2 Virtual + Academy,1,1,,,2
ACE Leadership High School,,1,1,1,3
Achieve Community Charter School,,,1,1,2
Acton Academy Venice Beach,,,1,1,2
Aggie Academy,,,,1,1
AIM Academy,,,,1,1
Alabama Aerospace and Aviation High School,,,,1,1
Albemarle County Community Public Charter School (Community Middle),1,,,,1
Albemarle Road Elementary School,1,,,,1
Altona Middle School,,1,,,1
Altura Preparatory School,,,,1,1
Amana Academy,1,,,,1
American Academy of Innovation,1,,1,,2
Anacostia High School,,1,,,1
Anastasis Academy,1,1,1,1,4
Anderson Institute of Technology,,,,1,1
Antrim Elementary School,,,,1,1
Arlington STEM Academy,,1,,,1
Armada High School,1,1,,,2
Asa Messer Elementary School,,1,,1,2
Aspen Academy,1,1,1,,3
Aspen Valley Prep Academy,,1,,,1
Asu Preparatory Academy Digital,,,1,1,2
Atlas Public Schools,,,1,1,2
Avalon School,1,1,,1,3
Avanti High School,1,,1,,2
Aventura Community School,,,,1,1
Avonworth High School,,1,1,,2
Ballou Senior High School,,1,,,1
Barrington Middle School,1,,,,1
Batesburg-Leesville Primary School,,,,1,1
BELIEVE Circle City High School,,,,1,1
Bellows Free Academy,,1,,,1
Benjamin Banneker Charter Public School,,1,,,1
Bennett Day School,,,,1,1
Bennington Junior-Senior High School,,1,,,1
Berrien Springs Virtual School,,1,1,,2
Bioscience High School,,,,1,1
Black Mother's Forum Microschool,,,,1,1
Black Mothers Forum Microschool,,,1,,1
Blackstone Academy Charter School,,,,1,1
Blessed Sacrament Catholic School,,,1,,1
Blue Valley Center for Advanced Professional Studies (CAPS),,1,1,1,3
Booneville High School,1,1,,,2
Boston Day and Evening Academy,1,1,1,1,4
Bostonia Global K-14,,,,1,1
BRICK Achieve Middle School,,,,1,1
Brockton High School,,1,,,1
Bronx Arena High School,1,,,,1
Brooklyn Free School,,,1,,1
Building 21 Allentown,,,,1,1
Building 21 Philadelphia,,1,,,1
Burlington City & Lake Semester,,1,,1,2
Cabot School,,,1,,1
California Area High School,,,,1,1
Canon City High School,,,1,1,2
Capital Experience Lab,,,,1,1
Capitol Learning Academy,,,,1,1
Career Academy High School,,,,1,1
Casco Bay High School,1,1,1,1,4
Catalyst: Bremerton,,,,1,1
Center City Congress Heights,,1,,1,2
Center for Advanced Research and Technology CART,,1,,,1
Center Line High School - Wall to Wall Academies,1,1,,,2
Central Queens Academy - Middle School,,,,1,1
Central Vermont Career Center,,1,,,1
Cesar E. Chavez Multicultural Academic Center,,1,,,1
Charles W. Eliot PreK-8th Grade School,1,,,,1
Charlotte Lab School,1,1,,,2
Chastain Road Elementary,1,,,,1
Chautauqua Charter School,,,1,,1
Chelsea Opportunity Academy,,,,1,1
