label,var
à la carte model,practices_a_la_carte
accommodations provided to all students,practices_accommodations
adaptive content,practices_adaptive_content
adult wellness/SEL,practices_adult_wellness
advancement on mastery,practices_advancement_mastery
student advisories,practices_advisories
alternating days,practices_alternating_days
alternating weeks,practices_alternating_weeks
anti-racist practices,practices_anti_racist
flexible assessment schedule,practices_assessment_schedule
assessments for agency and self-directed learning,practices_assessments_agency
bilingual assessments,practices_assessments_bilingual
assessments for career readiness,practices_assessments_career
assessments for deeper learning,practices_assessments_deeper
assessments for social-emotional skills,practices_assessments_sel
asynchronous online learning,practices_asynchronous_online
blended learning,practices_blended_learning
career prep and work-based learning,practices_career_prep
dialogue circles,practices_circles
community-based organizations as co-leaders,practices_colead_cbo
families as co-leaders,practices_colead_family
industry-based partners as co-leaders,practices_colead_industry
students as co-leaders,practices_colead_students
teachers as co-leaders,practices_colead_teachers
co-leadership,practices_coleadership
community and business partnerships,practices_community_partnerships
family and community support services,practices_community_supports
competency/mastery-based education,practices_competency_education
competency framework,practices_competency_framework
culturally responsive practices,practices_culturally_responsive
data analytics drive instruction,practices_data_instruction
design to meet needs of students who have been marginalized,practices_design_marginalized
design at the margins,practices_design_margins
design thinking process,practices_design_thinking
take home devices,practices_devices_home
digital materials,practices_digital_materials
disaggregated data on student participation,practices_disaggregated_participation_data
dual credit,practices_dual_credit
dual language programming,practices_dual_language
early college high school,practices_early_college
supports for English Language Learners,practices_ell_supports
enriched virtual model,practices_enriched_virtual
commitment to equity in strategic plan,practices_equity_plan
expanded open hours,practices_expanded_open_hours
expanded measures of success,practices_expanded_success
"experiential, work-based & place-based learning",practices_experiential
extended learning opportunities,practices_extended_learning
families can choose instructional modality,practices_families_choose_modality
at-home learning supports,practices_family_learning
flex model,practices_flex
flexible facilities & classroom design,practices_flexible_facilities
flexible schedule,practices_flexible_schedule
flexible staffing & alternative teaching roles,practices_flexible_staffing
flipped classroom,practices_flipped_classroom
fully in-person,practices_fully_in_person
fully remote,practices_fully_remote
grading policies focus on mastery,practices_grading_mastery
supports for students off-track for graduation,practices_graduation_supports
half days,practices_half_days
heritage language course(s),practices_heritage
hiring for equity and inclusion values,practices_hiring_equity
hiring practices in support of student success,practices_hiring_practices
hybrid,practices_hybrid
supports for immigrants and refugees,practices_immigrants_supports
all courses designed for inclusion,practices_inclusion
individual rotation,practices_individual_rotation
students earn industry credentials,practices_industry_credentials
access to information in multiple formats,practices_information_formats
interdisciplinary,practices_interdisciplinary
interoperable data from multiple technologies,practices_interoperability
lab rotation,practices_lab_rotation
learner agency,practices_learner_agency
individual learner profiles,practices_learner_profiles
individual learning paths,practices_learning_paths
connecting local and global,practices_local_global
maker/design-centered learning,practices_maker
makerspace,practices_makerspace
measures for school climate,practices_measures_climate
measures for college readiness,practices_measures_college
measures for purpose and agency,practices_measures_purpose
students meet industry professionals,practices_meet_professionals
mental health services,practices_mental_health
1:1 mentoring,practices_mentoring
multi-tiered system of support (MTSS) in academics,practices_mtss_academics
multi-age classrooms,practices_multi_age
no tracked classes,practices_no_tracking
open educational resources,practices_oer
multiple opportunities to demonstrate mastery,practices_opportunities_mastery
other co-leaders,practices_other_leaders
project-based learning,practices_pbl
peer to peer support,practices_peer_to_peer
performance based assessment,practices_performance_assessment
physical well being services,practices_physical_well_being
place-based learning,practices_place_based
portfolios and public exhibitions of student work,practices_portfolios_exhibitions
supports for high-poverty and homeless students,practices_poverty_supports
print materials,practices_print_materials
projects as primary method of learning,practices_projects_primary
high quality instructional materials,practices_quality_materials
real time data use to drive instruction,practices_real_time_data
real-world problem solving,practices_real_world
reallocation of resources for those most in need,practices_reallocation_resources
relevant and contextualized learning assignments,practices_relevant_learning
remote accommodations,practices_remote_accommodations
restorative practices,practices_restorative
rigorous coursework for all students,practices_rigorous_coursework
rotating or staggered schedules,practices_rotating_schedule
social-emotional learning,practices_sel
SEL curriculum,practices_sel_curriculum
SEL integration school-wide,practices_sel_integrated
commitment to whole child or SEL in strategic plan,practices_sel_plan
service learning,practices_service_learning
social justice focus,practices_social_justice
flexible staffing & infrastructure,practices_staffing_infrastructure
station rotation,practices_station_rotation
student-led conferences,practices_student_conferences
students access their own data,practices_student_data
student-led goal setting,practices_student_goals
self-paced learning,practices_student_pace
students develop projects,practices_student_projects
synchronous online learning,practices_synchronous_online
teachers can choose instructional modality,practices_teachers_choose_modality
translanguaging,practices_translanguaging
trauma-informed practices,practices_trauma_informed
tutoring,practices_tutoring
universal design for learning,practices_udl
virtual enrichment activities,practices_virtual_enrichment
all virtual pathway,practices_virtual_pathway
multiple ways to demonstrate mastery,practices_ways_mastery
wraparound services & integrated student supports,practices_wraparound
