Variable Name,Tag Variable Name - 2023,Tag Variable Name 2023 (Airtable inconsistencies),Fixed?,Full Tag Name,Equivalent Variable Name - 2022,Equivalent Variable Name - 2021,Equivalent Variable Name - 2019,2023 Description,2022 Description,2021 Description,2019 Description,Nested 2023,Nested 2022,Nested 2021,Nested 2019,In use 2023,Year removed,Years Used (Airtable - updated),Only one year used,Priority,Interest,Change Notes
practices_a_la_carte,practices_a_la_carte,,,à la carte model,practices_a_la_carte,a_la_carte,a_la_carte,A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,child,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_accommodations,practices_accommodations,This is not a parent or child tag in 2023,TRUE,accommodations provided to all students,practices_accommodations,accommodations,accommodations,"Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.","Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.","Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.","Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_adaptive_content,NA,,,adaptive content,practices_adaptive_content,adaptive_content,adaptive_content,NA,Content is adapted to individual learners (may be accomplished using adaptive learning software).,Content is adapted to individual learners (may be accomplished using adaptive learning software).,Content is adapted to individual learners (may be accomplished using adaptive learning software).,NA,,Tag - Specific Practice,Tag - Specific Practice,n,2022,"2018-19, 2020-21, 2021-22",N,,,
practices_advancement_mastery,practices_advancement_mastery,This is not a parent or child tag in 2023,TRUE,advancement on mastery,practices_advancement_mastery,advancement_mastery,advancement_mastery,"Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.","Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.","Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.","Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_advisories,practices_advisories,This is not a parent or child tag in 2023,TRUE,student advisories,practices_advisories,advisories,advisories,"Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.","Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.","Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.","Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_assessment_schedule,NA,,,flexible assessment schedule,NA,assessment_schedule,assessment_schedule,NA,NA,"The school allows students to complete assessments when they are ready, rather than all at once on a fixed schedule.","The school allows students to complete assessments when they are ready, rather than all at once on a fixed schedule.",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2021,"2018-19, 2020-21",N,,,
practices_blended_learning,practices_blended_learning,,,blended learning,practices_blended_learning,blended_learning,blended_learning,"Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.","Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.","Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.","Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.",parent,,Tag - General Approach,Tag - General Approach,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_career_prep,practices_career_prep,This is not a parent or child tag in 2023,TRUE,career prep and work-based learning,practices_career_prep,career_prep,career_prep,"The learning environment offers career-oriented learning opportunities and connections to professionals who reflect students' varied backgrounds and identities, e.g. via career tech and vocational training, interview practice, internships and apprenticeships, job shadows, etc.","The learning environment offers career-oriented learning opportunities and connections to professionals who reflect students' varied backgrounds and identities, e.g. via career tech and vocational training, interview practice, internships and apprenticeships, job shadows, etc.","The learning environment offers career-oriented learning opportunities and connections to professionals who reflect students' varied backgrounds and identities, e.g. via career tech and vocational training, interview practice, internships and apprenticeships, job shadows, etc.","The learning environment offers career-oriented learning opportunities and connections to professionals who reflect students' varied backgrounds and identities, e.g. via career tech and vocational training, interview practice, internships and apprenticeships, job shadows, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_circles,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,dialogue circles,NA,circles,circles,NA,NA,"Dialogue circles are gatherings in which all participants sit in a circle facing each other to facilitate open, direct communication. They provide a safe, supportive space where all school community members can talk about sensitive topics, work through differences, and build consensus.","Dialogue circles are gatherings in which all participants sit in a circle facing each other to facilitate open, direct communication. They provide a safe, supportive space where all school community members can talk about sensitive topics, work through differences, and build consensus.",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2021,"2018-19, 2020-21",N,,,
practices_community_partnerships,practices_community_partnerships,This is not a parent or child tag in 2023,TRUE,community and business partnerships,practices_community_partnerships,community_partnerships,community_partnerships,"Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.","Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.","Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.","Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
