Variable Name,Tag Variable Name - 2023,Tag Variable Name 2023 (Airtable inconsistencies),Fixed?,Full Tag Name,Equivalent Variable Name - 2022,Equivalent Variable Name - 2021,Equivalent Variable Name - 2019,2023 Description,2022 Description,2021 Description,2019 Description,Nested 2023,Nested 2022,Nested 2021,Nested 2019,In use 2023,Year removed,Years Used (Airtable - updated),Only one year used,Priority,Interest,Change Notes
practices_mentoring,practices_mentoring,This is not a parent or child tag in 2023,TRUE,1:1 mentoring,practices_mentoring,mentoring,mentoring,Indicates whether the school selected the tag 1:1 mentoring: Students connect with adults in and/or outside of the learning environment for 1:1 mentoring and regular check-in meetings.,Students connect with adults in and/or outside of the learning environment for 1:1 mentoring and regular check-in meetings.,The school connects students with adults in and outside of the school for 1:1 mentoring and regular check-in meetings.,The school connects students with adults in and outside of the school for 1:1 mentoring.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_a_la_carte,practices_a_la_carte,,,à la carte model,practices_a_la_carte,a_la_carte,a_la_carte,Indicates whether the school selected the tag à la carte model: A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,Students take an online course with an online teacher in addition to other face-to-face courses.,"Students take an online course with an online teacher in addition to other face-to-face courses, which often provides students with more flexibility over their schedules.",child,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_information_formats,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,access to information in multiple formats,NA,NA,information_formats,NA,NA,NA,"Teachers offer students access to information and materials in multiple formats e.g. print, online, video, audio, hands-on, etc.",NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_accommodations,practices_accommodations,This is not a parent or child tag in 2023,TRUE,accommodations provided to all students,practices_accommodations,accommodations,accommodations,"Indicates whether the school selected the tag accommodations provided to all students: Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.","Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.",Accommodations traditionally reserved for students with an IEP are available to all students.,Accommodations traditionally reserved for students with an IEP are available to all students.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_adaptive_content,NA,,,adaptive content,practices_adaptive_content,adaptive_content,adaptive_content,NA,Content is adapted to individual learners (may be accomplished using adaptive learning software).,Content is adapted to individual learners (may be accomplished using adaptive learning software).,Content is adapted to individual learners (may be accomplished using adaptive learning software).,NA,,Tag - Specific Practice,Tag - Specific Practice,n,2022,"2018-19, 2020-21, 2021-22",N,,,
practices_adult_wellness,practices_adult_wellness,This is not a parent or child tag in 2023,TRUE,adult wellness/SEL,NA,NA,NA,"Indicates whether the school selected the tag adult wellness/SEL: Staff have regular opportunities to cultivate their own social, emotional, and cultural competence, collaborate with one another, build trusting relationships, and maintain a strong community.",NA,NA,NA,not nested,,NA,NA,y,Not removed ,2022-23,Y,,,
practices_advancement_mastery,practices_advancement_mastery,This is not a parent or child tag in 2023,TRUE,advancement on mastery,practices_advancement_mastery,advancement_mastery,advancement_mastery,"Indicates whether the school selected the tag advancement on mastery: Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.","Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.","Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.","Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
"practices_all_courses_designed_for_inclusion
IF RETAINED: practices_inclusion",practices_all_courses_designed_for_inclusion,AT 2023 var name is practices_inclusion; should be updated to match: practices_all_courses_designed_for_inclusion (shorten for future),TRUE,all courses designed for inclusion,NA,NA,NA,"Indicates whether the school selected the tag all courses designed for inclusion: Students who typically receive pull-out services or instruction in segregated classrooms (e.g., students classified as English Learners, students with disablities) are integrated with appropriate supports in place to support learning, language ability, and full participation in curriculum.",NA,NA,NA,parent,,NA,NA,y,Not removed ,2022-23,Y,,,
practices_virtual_pathway,NA,Full tag name should be: all virtual pathway,TRUE,all virtual pathway,practices_virtual_pathway,NA,NA,NA,"Some (but not all) students in this learning environment complete their coursework and learning activities entirely at home or in another space of their choice, without coming to a physical learning environment.",,NA,NA,,NA,NA,n,2022,2021-22,Y,,,
practices_alternating_days,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,alternating days,NA,alternating_days,NA,NA,NA,"Some students attend school one day, and others the next.",NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
